,公司名稱,產業類別,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG,ESG_ByPR
13,愛之味,食品工業,1217,39,39,47,63,83,55,39,51,35,23,39,87,83,51,67,47,35,79,87,23,75,91,43,39,59,1,1,1,1,55
14,泰山,食品工業,1218,67,67,63,47,55,43,31,43,31,27,43,63,79,95,63,51,39,63,63,87,83,87,67,63,55,1,1,1,1,59
15,福壽,食品工業,1219,43,43,43,55,39,39,23,55,91,31,47,55,63,23,55,55,43,11,15,43,31,67,83,83,95,1,1,1,1,49
16,台榮,食品工業,1220,31,31,35,75,35,79,71,39,11,35,51,27,43,35,11,23,47,51,51,55,99,83,55,51,11,1,1,1,1,45
17,福懋油,食品工業,1225,59,59,55,51,23,71,43,79,51,39,19,79,95,79,39,63,51,47,35,83,35,59,75,75,31,1,1,1,1,56
18,佳格,食品工業,1227,83,79,79,27,71,35,51,47,67,47,15,43,59,55,95,95,55,67,55,19,87,23,31,27,83,1,1,1,1,56
19,聯華,食品工業,1229,99,99,67,39,47,87,87,99,95,83,59,91,55,47,43,35,59,71,71,39,39,79,91,91,67,1,1,1,1,70
20,聯華食,食品工業,1231,35,35,39,79,71,19,79,91,83,75,63,47,39,71,47,67,63,39,39,99,15,75,27,23,35,1,1,1,1,54
21,大統益,食品工業,1232,91,91,99,11,63,75,59,67,71,51,67,59,11,59,83,27,67,83,79,63,47,71,63,59,87,1,1,1,1,64
22,天仁,食品工業,1233,11,11,23,91,95,27,27,75,27,55,71,75,91,75,51,87,11,91,83,67,51,63,79,67,27,1,1,1,1,57
23,黑松,食品工業,1234,63,63,71,67,31,67,55,35,63,59,87,35,47,19,79,15,71,19,47,31,55,51,47,43,75,1,1,1,1,52
24,興泰,食品工業,1235,15,15,11,95,79,83,11,87,79,63,75,95,99,83,91,91,75,75,59,75,79,15,95,95,51,1,1,1,1,68
25,宏亞,食品工業,1236,23,23,19,87,99,51,35,83,99,67,11,71,75,87,31,99,79,15,11,51,59,99,87,87,99,1,1,1,1,62
26,鮮活果汁-KY,食品工業,1256,71,71,75,35,87,15,19,71,47,71,79,67,51,99,99,83,83,35,23,91,63,47,59,55,91,1,1,1,1,63
27,南僑,食品工業,1702,95,95,91,31,91,95,91,27,75,87,83,11,15,43,23,71,87,31,31,11,67,19,23,19,39,1,1,1,1,54
28,臺鹽,食品工業,1737,75,75,87,19,59,11,83,11,39,91,91,23,27,15,19,75,91,43,19,95,71,35,19,79,23,1,1,1,1,51
29,立萬利,食品工業,3054,79,83,83,23,75,99,99,15,55,11,95,39,35,27,87,39,15,27,27,71,11,39,39,35,79,1,1,1,1,51
30,台塑,塑膠工業,1301,69,69,89,9,34,9,39,4,0,94,99,4,0,9,0,0,94,4,19,0,49,9,4,4,4,1,1,1,1,29
