公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
長興,化學工業,母公司及包含合併財務報表之國內與國外子公司,產品(公噸),ISO 50001及ISO14046:2014,母公司及包含合併財務報表之國內與國外子公司,ISO 50001,母公司及包含合併財務報表之國內與國外子公司,ISO 14064：2018,母公司及包含合併財務報表之國內與國外子公司,ISO 14064：2018,母公司及包含合併財務報表之國內與國外子公司,ISO 14064：2018,產品(公噸),母公司及包含合併財務報表之國內與國外子公司,母公司及包含合併財務報表之國內與國外子公司,母公司及包含合併財務報表之國內與國外子公司,產品,N,1717.0,1221.0,996.0,955.0,816.0,0.154,3.0,0.0006,1073670.0,0.369,4.0,0.001,83654.0,161475.0,1738304.0,0.427,12.0,4.0,1.0,0.0833,0.9853,1.0,46661.0,7598.0,54259.0,0.0841
中纖,化學工業,111年度總用水量,總產品239638.7485公噸,N,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,,N,總產品239638.7485公噸,111年度申報量,111年度申報量,111年度申報量,營業額5264762仟元,N,1718.0,830.0,672.0,664.0,597.0,0.2206,3.0,0.005,2156374.0,8.9984,1.0,0.0005,428636.18,10543.52,1097622.155,1.8327,9.0,3.0,0.0,0.0,0.81,0.4444,0.0,21486.1,21486.1,4.0811
三晃,化學工業,母公司,產品,確信準則公報第一號,,N,母公司,N,母公司,N,,N,產品,母公司,母公司,母公司,產品,確信準則公報第一號,1721.0,895.0,740.0,753.0,733.0,0.3038,5.0,0.0095,209587.0,9.18,1.0,0.0017,12413.0,21098.0,87853.5,1.47,7.0,3.0,2.0,0.2857,0.9,1.0,129.49,1741.58,1871.07,0.0819
台肥,化學工業,母公司 台中廠 花蓮廠 苗栗廠,產品,N,母公司,ISO 50001,母公司 台中廠 苗栗廠,N,母公司 台中廠 苗栗廠,N,,N,產品,母公司 台中廠 花蓮廠 苗栗廠,母公司 台中廠 花蓮廠 苗栗廠,母公司 台中廠 花蓮廠 苗栗廠,產品,N,1722.0,1664.0,1442.0,1387.0,1232.0,0.1204,3.0,0.0047,26010700.0,31.56,1.0,0.03,476195.0,49073.0,1097622.155,0.646,9.0,3.0,1.0,0.1111,1.0,1.0,301.73,710.35,1012.08,0.123
中碳,化學工業,母公司,百萬元營業額,N,母公司,ISO 50001,母公司,ISO 14064,母公司,ISO 14064,,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,ISO 14001,1723.0,1847.0,1618.0,1453.0,1372.0,0.1026,0.0,0.0,350000.0,33.518,4.0,0.0,32859.0,76647.0,10727.81,10.487,9.0,3.0,1.0,0.1111,0.9,1.0,18.24,194.08,212.32,0.0203
元禎,化學工業,母公司,百萬元營業額,N,母公司,N,,N,母公司,N,,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,1725.0,906.0,720.0,702.0,609.0,0.125,0.0,0.0,2550.0,0.341,1.0,0.0,688.9562,487.87,11557.7955,0.0652,7.0,3.0,1.0,0.14,0.93,0.14,43.458,285.95099999999996,21.571,0.0029
永記,化學工業,20220101~20221231,,ISO14001,,N,,N,僅母公司,N,,N,電力使用量,20220101~20221231,20220101~20221231,20220101~20221231,,ISO9001及ISO14001,1726.0,920.0,791.0,775.0,704.0,0.07,10.0,0.0137,64740.0,0.07150000000000001,1.0,0.0017,4368.9400000000005,4358.0,87901.2369,0.0496,7.0,3.0,1.0,0.1429,0.8929,0.0,672.85,1590.97,2263.82,0.13515000000000002
中華化,化學工業,桃園一廠、桃園二廠、彰化廠,百萬元營業額,N,,N,桃園一廠、桃園二廠、彰化廠,N,桃園一廠、桃園二廠、彰化廠,N,,N,產品,桃園一廠、桃園二廠,桃園一廠、桃園二廠,桃園一廠、桃園二廠,產品,N,1727.0,772.0,633.0,626.0,598.0,0.1935,9.0,0.0345,377913.45,0.002,1.0,0.0017,1159.48,10534.57,10727.81,0.0625,10.0,4.0,1.0,0.1,0.98,1.0,189.732,1451.55,1641.28,0.01
花仙子,化學工業,包含合併財務報表之母子公司,百萬元營業額,N,,N,包含合併財務報表之母子公司,ISO 14064,包含合併財務報表之母子公司,ISO 14064,包含合併財務報表之母子公司,ISO 14064,百萬元營業額,包含合併財務報表之母子公司,包含合併財務報表之母子公司,包含合併財務報表之母子公司,百萬元營業額,N,1730.0,1353.0,1153.0,890.0,708.0,0.5,0.0,0.0,12460.0,4.474,1.0,0.0,498.991,1884.98,22741.25,9.022,6.0,3.0,4.0,0.6667,1.0,1.0,0.226,78.942,79.168,0.028
毛寶,化學工業,母公司,噸CO2e/百萬營收,N,,N,母公司,N,母公司,N,母公司_工廠原物料、影印紙張電力等,N,噸CO2e/百萬營收,母公司,母公司,母公司,噸CO2e/百萬營收,N,1732.0,624.0,524.0,538.0,456.0,0.5,2.0,0.0124,19243.0,32.782,1.0,0.0,181.8591,427.8069,123.4738,1.25,7.0,3.0,4.0,0.5714,1.0,1.0,0.0,521.27,521.27,0.89
日勝化,化學工業,母公司,產品,N,,N,母公司,N,母公司,N,,N,產品,母公司(未包含再利用廢棄物101.497公噸),母公司(未包含再利用廢棄物101.497公噸),母公司(未包含再利用廢棄物101.497公噸),產品,N,1735.0,954.0,804.0,753.0,661.0,0.0476,2.0,0.0094,39764.0,2.16,1.0,0.0017,3517.91,5124.17,11432.3619,0.4694,9.0,3.0,0.0,0.0,0.9815,0.2222,10.12,498.65,508.77,0.0276
勝一,化學工業,母公司,產品,N,,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,產品,母公司,母公司,母公司,產品,ISO 14001,1773.0,1331.0,1164.0,1071.0,924.0,0.093,4.0,0.009,375042.0,1.7447,1.0,0.0,52562.31,8894.96,16927.62,0.2859,9.0,3.0,2.0,0.2222,0.8519,1.0,0.0,829.79,829.79,0.0039
展宇,化學工業,母公司(第1廠及第2廠),營業額,N,,N,母公司(第1廠及第2廠),ISO 14064,母公司(第1廠及第2廠),ISO 14064,母公司(第1廠及第2廠),ISO 14064,營業額,母公司(第1廠及第2廠),母公司(第1廠及第2廠),母公司(第1廠及第2廠),營業額,N,1776.0,837.0,691.0,636.0,493.0,0.25,2.0,0.0164,2417.0,3.0829,1.0,0.0,878.9214,1351.45,374.341,2.8449,9.0,3.0,1.0,0.1111,1.0,1.0,86.69,492.96,579.65,0.7393
德淵,化學工業,用水量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,百萬元營業額,N,,ISO 50001,排放量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,N,母公司,N,,N,百萬元營業額,廢棄物量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,廢棄物量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,廢棄物量係以母公司計算；排放密集度單位係以合併財務報表百萬營業額計算。,百萬元營業額,N,4720.0,1040.0,870.0,748.0,677.0,0.28,1.0,0.0046,14070.0,3.8485,2.0,0.0,838.97,2099.54,11432.3619,0.8,11.0,4.0,1.0,0.0909,0.95,1.0,26.01,49.87,75.88,0.0208
國精化,化學工業,母公司,,N,,N,母公司,N,母公司,N,母公司,N,,母公司,母公司,母公司,,ISO 14001,4722.0,1035.0,880.0,849.0,781.0,0.1,0.0,0.0,109944.0,6.4745,1.0,0.0,9899.0,6750.0,28.0,2905.6198,9.0,3.0,1.0,0.11,1.0,0.33,275.11,5333.72,5608.83,0.010150000000000001
康普,化學工業,康普集團,百萬元營業額,ISO50001,,ISO 50001,康普集團,ISO 14064,康普集團,ISO 14064,,N,百萬元營業額,康普集團,康普集團,康普集團,,ISO 14001,4739.0,1623.0,1462.0,876.0,756.0,0.109,0.0,0.0,462120.0,5.48,4.0,0.0,6525.0,23066.0,10727.81,3.26,9.0,3.0,0.0,0.0,0.9778,1.0,0.0,480.65,480.65,0.0051
三福化,化學工業,僅母公司(善化廠、柳科廠、高雄廠),營業額；單位：公噸  / 仟元,確信準則公報第一號,,N,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,僅母公司(善化廠、柳科廠、高雄廠),ISO 14064,營業額；單位：噸CO2e / 仟元,僅母公司(善化廠、柳科廠、高雄廠),僅母公司(善化廠、柳科廠、高雄廠),僅母公司(善化廠、柳科廠、高雄廠),營業額；廢棄物量 / 仟元,ISO 14064-1 溫室氣體盤查標準、確信準則公報第一號,4755.0,1303.0,1052.0,998.0,884.0,0.1042,0.0,0.0,379920.0,0.0732,1.0,0.0,5003.0,20344.0,4528.0,0.0049,9.0,3.0,0.0,0.0,0.9722,1.0,860.75,236.75,1097.5,0.0002
材料-KY,化學工業,合併財務報表之母子公司,營業額(仟元單位),N,,N,合併財務報表之母子公司,N,合併財務報表之母子公司,N,,N,百萬元營業額,合併財務報表之母子公司,合併財務報表之母子公司,合併財務報表之母子公司,營業額(仟元單位),N,4763.0,1229.0,1071.5,1036.0,865.5,0.0714,14.0,0.0323,912512.0,0.2137,5.0,0.0005,59300.13,37778.04,892331.385,22.74,7.0,3.0,0.0,0.0,0.9762,1.0,705.63,627.81,1333.44,0.0003
雙鍵,化學工業,母公司,百萬元營業額,N,母公司,N,母公司,N,母公司,N,,N,百萬元營業額,母公司,母公司,母公司,百萬元營業額,N,4764.0,1052.0,877.0,759.0,704.0,0.4545,0.0,0.0,20638.0,7.3548,1.0,0.0,1900.05,3244.42,11432.3619,1.8333,7.0,3.0,2.0,0.2857,1.0,1.0,4.5633,51.55,56.1133,0.02
南寶,化學工業,僅母公司,千元營業額,ISO 46001,僅母公司,ISO 50001,僅母公司,N,僅母公司,N,僅母公司,N,百萬元營業額,僅母公司,僅母公司,僅母公司,百萬元營業額,N,4766.0,1122.0,981.0,845.0,717.0,0.1122,8.0,0.0116,70662.0,0.014,6.0,0.0034,5512.0,9577.0,175679.0,2.43,7.0,3.0,0.0,0.0,1.0,1.0,711.0,972.0,1683.0,0.27
上品,化學工業,僅母公司,百萬元營業額,N,,N,僅母公司,N,僅母公司,N,,N,百萬元營業額,僅母公司,僅母公司,僅母公司,百萬元營業額,N,4770.0,1381.0,1223.0,1054.0,827.0,0.19,92.0,0.1957,50210.0,8.1801,5.0,0.0017,280.8582,8339.04,87901.2369,1.4043,9.0,3.0,1.0,0.1111,1.0,1.0,0.0,13.56,13.56,0.0022
台玻,玻璃陶瓷,僅母公司,,ISO 50001,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,,N,,111年度 ESG報告書,111年度 ESG報告書,111年度 ESG報告書,,ISO 14001,1802.0,776.0,652.0,677.0,631.0,0.132,80.0,0.0201,1880000.0,29.075,1.0,0.0,439157.47,248448.45,0.0,0.0739,15.0,3.0,1.0,0.0667,0.9667,0.4,4.85,10647.435,22340.76,0.48695
冠軍,玻璃陶瓷,自來水,產品,N,,ISO 50001,工廠,ISO 14064,工廠,ISO 14064,,N,產品,工廠,工廠,工廠,產品,ISO 14001,1806.0,749.0,605.0,672.0,595.0,0.2353,10.0,0.0143,163158.0,0.0163,1.0,0.0,62354.2,27143.14,0.0,0.0089,7.0,3.0,1.0,0.1429,1.0,0.5714,0.0,17633.87,17633.87,0.0018
中釉,玻璃陶瓷,僅母公司,,N,,N,僅母公司,N,僅母公司,N,,N,,僅母公司,僅母公司,僅母公司,產品,N,1809.0,877.0,749.0,749.0,392.0,0.15,1.0,0.0049,8295.0,0.39394999999999997,1.0,0.0,10140.68,3791.24,0.0,0.0739,9.0,3.0,1.0,0.1111,1.0,1.0,16.22,132.18,148.4,148.4
和成,玻璃陶瓷,母公司,百萬元營業額,ISO14001,,ISO 50001,,N,,N,,N,,母公司,母公司,母公司,百萬元營業額,ISO 14001,1810.0,734.0,625.0,618.0,535.0,0.0926,1.0,0.0012,219513.0,58.1337,1.0,0.0,36247.44,15467.189999999999,0.0,0.0739,7.0,3.0,0.0,0.0,0.7429,1.0,9.7,3661.0,3670.7,0.9721
凱撒衛,玻璃陶瓷,台灣地區,百萬元營業額,N,,N,母公司(台灣地區),N,母公司(台灣地區),N,,N,百萬元營業額,台灣地區,台灣地區,台灣地區,百萬元營業額,N,1817.0,935.0,788.0,765.0,621.0,0.25,0.0,0.0,2060.0,0.7716,2.0,0.0,176.03,194.81,0.0,0.1389,8.0,4.0,1.0,0.125,1.0,1.0,8.11,8883.025,82.08,0.03
士紙,造紙工業,,,N,,N,,N,,N,,N,,,,,,N,1903.0,829.0,678.0,563.0,529.0,0.2258,0.0,0.0,14019386.5,53.7785,1.0,0.16025,579177.415,125484.68,53582.235,6.3549999999999995,6.0,3.0,2.0,0.3333,0.9756,0.5,13.805,154373.68,154387.485,0.6159
正隆,造紙工業,母公司,千公升/噸 (工業用紙產量),N,母公司,ISO 50001,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,公噸；工業用紙,母公司,母公司,母公司,噸/噸(工紙、家品、紙與紙板),N,1904.0,1085.0,934.0,918.0,850.0,0.0431,10.0,0.0027,1015708.0,10.53,2.0,0.0008,1113036.86,289518.8,251165.62,0.914,9.0,3.0,1.0,0.11,0.98,1.0,0.0,335986.0,335986.0,0.231
華紙,造紙工業,華紙台灣四個生產據點,產品,N,華紙合併財報之台灣、大陸生產據點,ISO 50001,華紙台灣四個生產據點,ISO 14064,華紙台灣四個生產據點,ISO 14064,僅包含台灣所屬營運據點，以主要上游原物料(木片、紙漿與回收紙)經海運及陸運運輸之海內外採購。,N,產品,華紙合併財報之台灣、大陸生產據點,華紙合併財報之台灣、大陸生產據點,華紙合併財報之台灣、大陸生產據點,,N,1905.0,940.0,785.0,735.0,678.0,0.0932,1.0,0.0003,23381993.0,19.64,4.0,0.32,601988.0,201276.0,30043.0,1.27,7.0,3.0,2.0,0.2857,1.0,1.0,0.0,255767.0,255767.0,0.6354
寶隆,造紙工業,,,N,,N,,N,,N,,N,,,,,,N,1906.0,1587.0,1258.0,808.0,875.0,0.1429,0.0,0.0,2836244.0,49.2235,1.0,0.00065,834701.845,169606.08,164143.54499999998,6.177,6.0,3.0,1.0,0.1667,0.9412,1.0,13.805,194483.18,194496.985,0.6159
永豐餘,造紙工業,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣區合計13個生產據點。,產品,ISO 14001,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南三地共合計共35個生產據點。 可再生能源包含：SRF、回收紙渣、廢膠片、餘泥、沼氣、木質素、樹皮、廢木材、木片、木屑等。,ISO 50001,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣區合計13個生產據點。,ISO 14064,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣區合計13個生產據點。,ISO 14064,僅包含2022 年華紙台灣所屬營運據點，以主要上游原物料（木片、紙漿與回收紙）經海運及陸運運輸之海內外採購。,N,產品,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南合計35個生產據點。,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南合計35個生產據點。,永豐餘年報所稱三大事業群（林漿紙事業群、工紙紙器事業群、消費品事業群）之台灣、大陸、越南合計35個生產據點。,產品,N,1907.0,2606.0,2420.0,783.0,691.0,0.18,39.0,0.0044,31285457.0,13.38,4.0,0.434,1174074.0,324650.0,30043.0,0.93,9.0,4.0,2.0,0.222,0.9814,1.0,369.0,537374.0,537743.0,0.27
榮成,造紙工業,全台灣廠區,百萬元營業額,N,全台灣廠區,ISO 50001,全台灣廠區,ISO 14064,全台灣廠區,ISO 14064,全台灣廠區及其他,ISO 14064,百萬元營業額,全台灣廠區,全台灣廠區,全台灣廠區,百萬元營業額,N,1909.0,935.0,799.0,766.0,731.0,0.05,1.0,0.0009,4656780.0,87.917,2.0,0.0005,556366.83,49693.36,77121.47,11.44,9.0,3.0,0.0,0.0,0.9556,1.0,27.61,52980.36,53007.97,1.0008
永豐實,造紙工業,臺灣紙品工廠：楊梅廠、清水廠,產品,ISO 14001,,ISO 50001,臺灣紙品工廠：清水廠、楊梅廠,ISO 14064,臺灣紙品工廠：清水廠、楊梅廠,ISO 14064,,N,產品,臺灣紙品工廠：楊梅廠、清水廠,臺灣紙品工廠：楊梅廠、清水廠,臺灣紙品工廠：楊梅廠、清水廠,產品,ISO 9001及 ISO 14001,6790.0,1000.0,819.0,850.0,746.0,0.33,10.0,0.014,1366708.0,14.9,4.0,0.00065,60062.0,47721.0,164143.54499999998,1.18,7.0,3.0,2.0,0.286,1.0,1.0,0.0,3587.0,3587.0,0.04
中鋼,鋼鐵工業,母公司,產品,N,母公司,ISO 50001,母公司,ISO 14064,母公司,ISO 14064,母公司：僅包含納入查證項目，統計「營運產生的廢棄物處理」、「商務旅行」、「燃料與能源相關活動廢棄物處理」及「上游運送與貨物配送」等四項,ISO 14064,產品,母公司,母公司,母公司,廢棄物量(公噸)/鋼胚(公噸),ISO 14001,2002.0,1941.0,1664.0,1595.0,1495.0,0.0235,1.0,0.0001,43076000.0,4.86,4.0,0.0,18248901.0,1412524.0,1606142.0,2.33,11.0,3.0,1.0,0.0909,0.9697,1.0,58.3,559748.4,559806.7,0.0663
東和鋼鐵,鋼鐵工業,母公司,公噸鋼胚產量,ISO14001,母公司,ISO 50001,母公司 (總公司、桃園廠、苗栗廠、高雄廠),ISO 14064,母公司 (總公司、桃園廠、苗栗廠、高雄廠),ISO 14064,母公司 (總公司、桃園廠、苗栗廠、高雄廠),ISO 14064,鋼胚生產量,母公司生產廠區 (桃園廠、苗栗廠、高雄廠) 廢棄物處理,母公司生產廠區 (桃園廠、苗栗廠、高雄廠) 廢棄物處理,母公司生產廠區 (桃園廠、苗栗廠、高雄廠) 廢棄物處理,公噸鋼胚產量,ISO 14001,2006.0,1210.0,1061.0,1088.0,1031.0,0.088,12.0,0.0062,2108753.0,1.103,2.0,0.0,188592.4,621505.28,1441997.94,0.424,11.0,3.0,0.0,0.0,1.0,1.0,33601.0,320186.0,353787.0,0.168
燁興,鋼鐵工業,本公司,百萬元營業額,N,,ISO 50001,本公司,N,本公司,N,,N,百萬元營業額,本公司,本公司,本公司,百萬元營業額,N,2007.0,853.0,617.0,652.0,615.0,0.059,2.0,0.0045,126305.0,10.13,2.0,0.0,26403.0,44334.0,4880.08,10.36,7.0,3.0,0.0,0.0,1.0,1.0,243.0,8030.0,8273.0,1.21
高興昌,鋼鐵工業,總公司(無子公司)含屏南廠,產品,N,,N,總公司(無子公司)含屏南廠,N,總公司(無子公司)含屏南廠,N,總公司(無子公司)含屏南廠,N,產品,總公司(無子公司)含屏南廠,總公司(無子公司)含屏南廠,總公司(無子公司)含屏南廠,產品,ISO 14001,2008.0,737.0,591.0,549.0,510.0,0.1,1.0,0.0046,33930.0,0.6804,1.0,0.0042,2557.47,4079.0,1279.05,0.1331,9.0,3.0,1.0,0.1111,0.9444,0.6667,0.03,435.4,435.43,0.0087
第一銅,鋼鐵工業,僅計算第一伸銅科技股份有限公司臨海廠,產品,N,無使用再生能源,N,第一伸銅科技股份有限公司,ISAE3410,第一伸銅科技股份有限公司,ISAE3410,第一伸銅科技股份有限公司,N,產品,僅計算第一伸銅科技股份有限公司臨海廠,僅計算第一伸銅科技股份有限公司臨海廠,僅計算第一伸銅科技股份有限公司臨海廠,產品,ISO 14001,2009.0,667.0,533.0,550.0,531.0,0.0357,9.0,0.0363,205990.0,2.46,1.0,0.0,3906.56,18447.49,4558.37,2.0843,7.0,3.0,1.0,0.1429,0.8286,1.0,796.335,335.39,1131.73,0.106
春源,鋼鐵工業,台灣總公司及北中南各生產營業據點,產品,ISO 14001 環境管理系統,,N,台灣總公司及北中南各生產營業據點,N,台灣總公司及北中南各生產營業據點,N,,N,產品,台灣總公司及北中南各生產營業據點,台灣總公司及北中南各生產營業據點,台灣總公司及北中南各生產營業據點,產品,ISO 14001,2010.0,796.0,640.0,702.0,612.0,0.0791,22.0,0.0197,87035.0,0.202,1.0,0.0042,4357.88,9579.18,114675.23,0.0324,11.0,3.0,1.0,0.09,0.97,0.27,0.0,12480.0,12480.0,0.029
春雨,鋼鐵工業,母公司,千元營業額,ISO14001,,N,母公司,N,母公司,N,母公司,N,千元營業額,母公司,母公司,母公司,千元營業額,ISO 14001,2012.0,777.0,671.0,768.0,613.0,0.1935,4.0,0.0071,211559.0,0.0386,2.0,0.0,15248.22,19439.59,260897.56,0.0063,11.0,3.0,2.0,0.1818,1.0,1.0,7907.86,2219.5,10127.36,0.0018
中鋼構,鋼鐵工業,僅母公司,,N,,N,僅母公司,N,僅母公司,N,,N,噸產品,僅母公司,僅母公司,僅母公司,,N,2013.0,1878.0,1637.0,1599.0,1410.0,0.03,0.0,0.0,37741.0,0.6252,2.0,0.0042,2328.96,7017.68,1429.22,0.0865,11.0,3.0,1.0,0.09,0.93,1.0,0.0,1387.7,1387.7,0.02935
中鴻,鋼鐵工業,母公司,產品,N,母公司,ISO 50001,母公司,環境保護署 溫室氣體排放量盤查作業指引、ISO 14064 1:2018 /CNS 14064 1: 2021,母公司,環境保護署 溫室氣體排放量盤查作業指引、ISO 14064 1:2018 /CNS 14064 1: 2021,母公司,ISO 14064 1:2018 /CNS 14064 1: 2021,產品,母公司,母公司,母公司,產品,N,2014.0,1127.0,833.0,823.0,795.0,0.0347,1.0,0.0009,1193022.0,0.486,4.0,0.0,141949.9,140726.6,4960629.46,0.1337,7.0,3.0,1.0,0.1429,1.0,1.0,17744.48,87346.81,105091.28,0.0428
豐興,鋼鐵工業,僅母公司,百萬元營業額,ISO 14001:2015,,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅盤查與母公司直接關係項目，燃料和能源有關的活動(外購電力)和廢棄物處理與運輸。,ISO 14064,百萬元營業額,僅母公司,僅母公司,僅母公司,百萬元營業額,ISO 14001,2015.0,1273.0,1085.0,1063.0,965.0,0.25,6.0,0.0063,1797166.0,46.55,4.0,0.0,226105.49,524494.25,114032.92,19.4431,13.0,3.0,0.0,0.0,0.9538,1.0,32434.0,354464.0,386898.0,10.022
官田鋼,鋼鐵工業,母公司,百萬元營業額,N,,N,母公司,N,母公司,N,,N,百萬元營業額,官田廠、麻豆廠,官田廠、麻豆廠,官田廠、麻豆廠,百萬元營業額,N,2017.0,627.0,512.0,534.0,469.0,0.2745,14.0,0.0484,144421.0,53.06,4.0,0.0,236.5568,9975.01,4880.08,3.75,12.0,3.0,2.0,0.1667,0.8851,1.0,0.0,2583.97,2583.97,0.95
美亞,鋼鐵工業,111年度,營業額單位：千元營業額,ISO14001,,N,母公司,N,母公司,N,,N,營業額單位：千元營業額,111年度,111年度,111年度,營業額單位：千元營業額,ISO 14001,2020.0,849.0,631.0,706.0,638.0,0.188,5.0,0.015,16499.0,0.0026,2.0,0.0042,3735.33,5953.06,82815.21,0.0016,8.0,2.0,1.0,0.125,0.9884,1.0,0.0,43.805,7200.65,0.0012
聚亨,鋼鐵工業,母公司,產品,N,,N,母公司,ISO 14064,母公司,ISO 14064,母公司,ISO 14064,產品,母公司,母公司,母公司,產品,N,2022.0,741.0,631.0,594.0,536.0,0.109,0.0,0.0,38727.0,0.57,2.0,0.0042,1726.32,11922.41,1579.39,0.2,5.0,3.0,1.0,0.2,0.91,1.0,1294.79,1067.19,2361.98,0.05
燁輝,鋼鐵工業,燁輝企業股份有限公司(僅母公司),百萬元營業額,確信準則 3000號,燁輝企業股份有限公司(僅母公司),ISO 50001,燁輝企業股份有限公司(僅母公司),確信準則 3000號,燁輝企業股份有限公司(僅母公司),確信準則 3000號,,N,百萬元營業額,燁輝企業股份有限公司(僅母公司),燁輝企業股份有限公司(僅母公司),燁輝企業股份有限公司(僅母公司),百萬元營業額,確信準則 3000號,2023.0,1141.0,867.0,942.0,920.0,0.035,2.0,0.0,334640.0,9.976,2.0,0.0,70297.0,82674.0,370782.18,4.56,7.0,3.0,0.0,0.0,1.0,1.0,160.0,2988.0,3148.0,1.6
志聯,鋼鐵工業,自來水+地下水,百萬元營業額,N,,ISO 50001,志聯公司新屋廠,N,志聯公司新屋廠,N,,N,百萬元營業額,廢酸+生活垃圾,廢酸+生活垃圾,廢酸+生活垃圾,百萬元營業額,ISO 14001,2024.0,740.0,592.0,569.0,518.0,0.281,2.0,0.012,218382.0,186.81,1.0,0.0,2568.54,3858.83,3293.06,5.498,7.0,3.0,3.0,0.4286,1.0,0.7143,769.0,175.0,944.0,0.8075
千興,鋼鐵工業,僅母公司,千元營業額,N,,N,僅母公司,N,僅母公司,N,,N,千元營業額,僅母公司,僅母公司,僅母公司,千元營業額,N,2025.0,640.0,513.0,518.0,509.0,0.25,0.0,0.0,30858.0,0.0251,1.0,0.0042,2981.78,5103.32,748.59865,0.0066,6.0,2.0,3.0,0.5,1.0,0.0,501.99,297.09499999999997,1213.79,0.001
大成鋼,鋼鐵工業,僅母公司,營業額(百萬公升/百萬元),N,,N,僅母公司,N,僅母公司,N,,N,產品,僅母公司,僅母公司,僅母公司,產品,N,2027.0,1848.0,1717.0,1698.0,1458.0,0.2174,1.0,0.001,109800.0,0.0075,1.0,0.0,1287.44,11731.31,4880.08,0.3121,11.0,3.0,3.0,0.2727,0.84,0.91,0.0,715.53,715.53,0.0172
威致,鋼鐵工業,個別公司,,N,,N,個別公司,ISO 14064,個別公司,ISO 14064,,N,,個別公司,個別公司,個別公司,,N,2028.0,938.0,698.0,773.0,700.0,0.4,9.0,0.0237,644630.0,5.197150000000001,1.0,0.00315,95634.0,189286.0,370782.18,2.3145,7.0,3.0,2.0,0.2857,0.8571,0.7142,20830.0,129025.0,149855.0,2.907
盛餘,鋼鐵工業,2022年績效月報,產品,N,太陽能/電力+天然氣+蒸氣+汽柴油(熱值),ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,N,產品,統計2022年有害/一般污泥產出量,統計2022年有害/一般污泥產出量,統計2022年有害/一般污泥產出量,產品,N,2029.0,1209.0,999.0,1047.0,975.0,0.0745,1.0,0.0019,416130.0,0.4183,4.0,0.0063,23586.44,44970.21,739536.61,0.069,10.0,3.0,0.0,0.0,0.96,0.3,6.8,1540.09,1546.89,4.214
