公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
大飲,食品工業,地下水與自來水,每日,其他,,N,僅母公司,N,,N,,N,,僅母公司,僅母公司,僅母公司,,,1213.0,492.0,412.0,404.0,384.0,0.25,0.0,0.0,9000.0,37.5,1.0,0.13,705.75,5110.727,3651.705,2.20645,9.0,3.0,1.0,0.1111,0.9444,0.3333,52.13,20.0,72.13,0.14685
卜蜂,食品工業,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,,N,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N,,N,南投肉食品加工廠:5.2噸CO2e/百萬營收 ; 飼料廠:0.0258噸CO2e/產量(噸),南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,,N,1215.0,899.0,773.0,665.0,508.0,0.3082,28.0,0.0126,1109384.0,5.564,1.0,0.0002,34271.0,41031.0,4107.639999999999,5.2,8.0,3.0,0.0,0.0,0.9,1.0,0.0,30571.45,30571.45,0.00715
統一,食品工業,僅母公司,營業收入千萬元,N,僅母公司,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,營業收入千萬元,僅母公司,僅母公司,僅母公司,營業收入千萬元,ISO 14001,1216.0,1371.0,1209.0,1183.0,1012.0,0.2907,1.0,0.0002,4262517.0,920.0,8.0,0.0003,63364.64,100999.43,1430005.67,35.21,13.0,3.0,2.0,0.1538,0.9829,1.0,2.26,36403.71,36405.97,7.8
愛之味,食品工業,母公司自來水用量,產品,N,,N,母公司之天然氣,N,母公司之外購電力、外購蒸氣,N,,N,產品,"污泥、廢食用油、_x000D_
菜渣、垃圾、廢紙、寶特瓶等","污泥、廢食用油、_x000D_
菜渣、垃圾、廢紙、寶特瓶等","污泥、廢食用油、_x000D_
菜渣、垃圾、廢紙、寶特瓶等",產品,N,1217.0,793.0,660.0,688.0,590.0,0.3409,4.0,0.0071,418537.0,57.34,1.0,0.31445,1074.81,12998.87,4036.415,1.9282,9.0,3.0,0.0,0.0,0.9074,0.7778,0.0,2346.8,2346.8,0.322
泰山,食品工業,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,百萬元營業額,N,計算方式如下表有經過驗算查證。,N,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,N,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,N,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,N,百萬元營業額,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,泰山食品廠+油脂廠+行政大樓1542、水產飼料廠+北斗牧場208.54,百萬元營業額,N,1218.0,1387.0,1241.0,1049.0,853.0,0.2521,3.0,0.0043,724060.0,72.2979,1.0,0.6239,3407.88,6607.74,1912.96,1.0416,8.0,3.0,1.0,0.125,0.99,1.0,0.0,1750.54,1750.54,0.1821
福壽,食品工業,母公司、子公司,千元營業額。,ISO 14046 子公司洽富通過水足跡查證,,ISO 50001,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１,資料涵蓋範圍母公司三個主要生產廠域(沙鹿廠、台中港廠、鹿港廠),ＩＳＯ　１４０６４－１,千元營業額,母公司、子公司,母公司、子公司,母公司、子公司,千元營業額。,N,1219.0,831.0,689.0,682.0,625.0,0.128,3.0,0.005,449458.0,0.0264,1.0,0.31475000000000003,7577.84,11729.38,4079.83,1.43,9.0,3.0,3.0,0.33,0.92,1.0,0.035,436.05,436.085,0.0
台榮,食品工業,本公司雲林廠,產品,N,,N,本公司雲林廠,ISO 14064 part I,本公司雲林廠,ISO 14064 part I,,N,產品,本公司雲林廠,本公司雲林廠,本公司雲林廠,產品,N,1220.0,658.0,541.0,571.0,537.0,0.1379,2.0,0.01,786000.0,6.978,1.0,0.31475000000000003,15738.29,15266.69,4107.639999999999,0.27,13.0,3.0,2.0,0.1667,0.923,0.0769,0.0,486.18,486.18,0.0043
福懋油,食品工業,母公司,,N,母公司,N,母公司,N,母公司,N,,N,,母公司,母公司,母公司,,N,1225.0,890.0,746.0,695.0,621.0,0.1,0.0,0.0,47643.6,20.125,1.0,0.0,3304.51,2861.48,3651.705,3.495,9.0,3.0,2.0,0.2222,0.8611,0.5555,0.42,841.15,841.57,0.16185000000000002
佳格,食品工業,佳格大園廠、中壢廠及佳乳湖口廠,公噸/萬元營業額,N,,N,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,N,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,N,佳格集團總部、佳格大園廠、中壢廠、佳乳湖口廠,N,萬元營業額,佳格大園廠、中壢廠及佳乳湖口廠,佳格大園廠、中壢廠及佳乳湖口廠,佳格大園廠、中壢廠及佳乳湖口廠,公噸/萬元營業額,N,1227.0,1078.0,888.0,856.0,767.0,0.39,12.0,0.009,662540.0,0.42,1.0,0.31475000000000003,11520.0,16213.0,3993.0,0.0174,8.0,4.0,1.0,0.125,0.93,1.0,4.0,6788.0,6792.0,0.0043
聯華,食品工業,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",百萬元營業額,N,,N,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司用水、廢棄物和商務差旅",ISO 14064-1:2018,百萬元營業額,"母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司","母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司","母公司-聯華實業投資控股(股)公司以及_x000D_
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",百萬元營業額,N,1229.0,3098.0,2800.0,749.0,680.0,0.25,0.0,0.0,53512.0,7.25,2.0,0.13,1277.54,16358.18,3223.58,2.39,10.0,3.0,1.0,0.1,0.94,1.0,0.0,322.635,322.635,0.0437
聯華食,食品工業,臺灣地區各工廠之所有營運相關之活動,百萬元營業額,N,,ISO 50001,臺灣地區各工廠之所有營運相關之活動,N,臺灣地區各工廠之所有營運相關之活動,N,,N,百萬元營業額,臺灣地區的總公司及各工廠之所有營運相關之活動,臺灣地區的總公司及各工廠之所有營運相關之活動,臺灣地區的總公司及各工廠之所有營運相關之活動,百萬元營業額,N,1231.0,831.0,695.0,686.0,582.0,0.39,19.0,0.0082,621920.0,0.0577,1.0,0.31475000000000003,8747.13,16853.49,2952.98,2.38,9.0,3.0,2.0,0.2222,1.0,1.0,0.0,6775.63,6775.63,0.6289
大統益,食品工業,僅母公司,百萬元營業額,N,,ISO 50001,僅母公司,ISO 14064,僅母公司,ISO 14064,,N,百萬元營業額,僅母公司,僅母公司,僅母公司,百萬元營業額,ISO 14001,1232.0,1982.0,1742.0,1585.0,1362.0,0.2609,0.0,0.0,353390.0,17.48,1.0,0.1325,29545.13,64871.39,3651.705,4.6702,11.0,3.0,0.0,0.0,1.0,1.0,0.0,1993.0,1993.0,0.099
天仁,食品工業,本公司天仁茶業股份有限公司直營單位,百萬元營業額,N,,N,本公司天仁茶業股份有限公司直營單位,N,本公司天仁茶業股份有限公司直營單位,N,,N,百萬元營業額,本公司天仁茶業股份有限公司直營單位,本公司天仁茶業股份有限公司直營單位,本公司天仁茶業股份有限公司直營單位,百萬元營業額,N,1233.0,501.0,417.0,544.0,487.0,0.5,5.0,0.0036,84018.0,46.015,1.0,0.13,869.729,2630.88,3651.705,1.917,9.0,3.0,0.0,0.0,1.0,1.0,0.0,464.8175,756.1,0.414
黑松,食品工業,中壢廠、斗六廠,產品,N,總公司、中壢廠、斗六廠,ISO 50001,黑松總公司、中壢廠、斗六廠,ISO 14064,黑松總公司、中壢廠、斗六廠,ISO 14064,黑松總公司、中壢廠、斗六廠,ISO 14064,產品,中壢廠、斗六廠,中壢廠、斗六廠,中壢廠、斗六廠,產品,N,1234.0,953.0,790.0,816.0,733.0,0.1512,0.0,0.0,771000.0,4.15,1.0,0.0056,9170.64,15087.33,6302.32,0.16,13.0,3.0,2.0,0.1538,0.9813,1.0,0.6,2324.0,2324.6,0.01
