,公司代號,公司名稱,產業類別,直接(範疇一)溫室氣體排放量(公噸CO₂e),能源間接(範疇二)溫室氣體排放量(公噸CO₂e),其他間接(範疇三)溫室氣體排放量(公噸CO₂e),溫室氣體排放密集度,再生能源使用率,用水量(公噸(t)),用水密集度,有害廢棄物(公噸(t)),非有害廢棄物(公噸(t)),總重量(有害+非有害)(公噸(t)),廢棄物密集度,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數,職業災害比率,火災件數,火災死傷人數,火災比率(死傷人數/員工總人數),董事會席次(席),獨立董事席次(席),女性董事比率,董事出席董事會出席率,公司年度召開法說會次數(次),ESG,E,S,G,ESG_ByPR
82,1455,集盛,紡織纖維,39.0,25.0,27.0,41.0,77.0,57.0,79.0,99.0,47.0,59.0,81.0,51.0,51.0,71.0,71.0,35.0,39,41.0,19,59,59.0,67,19,71.0,39.0,53,59.0,52.0,55.0,68.0,53
83,1456,怡華,建材營造,89.0,93.0,63.0,7.0,31.0,65.0,55.0,33.0,79.0,77.0,75.0,19.0,17.0,0.0,3.0,57.0,41,41.0,35,33,33.0,89,73,77.0,73.0,57,63.0,70.0,63.0,58.0,51
84,1457,宜進,紡織纖維,93.0,99.0,81.0,95.0,29.0,89.0,77.0,87.0,91.0,95.0,87.0,93.0,93.0,89.0,89.0,93.0,89,79.0,63,63,63.0,47,21,95.0,21.0,51,68.0,38.0,95.0,71.0,76
85,1459,聯發,紡織纖維,97.0,69.0,63.0,35.0,31.0,87.0,75.0,89.0,79.0,85.0,85.0,59.0,57.0,19.0,19.0,51.0,91,81.0,97,97,97.0,53,33,63.0,49.0,75,56.0,55.0,58.0,56.0,67
86,1460,宏遠,紡織纖維,27.0,37.0,71.0,39.0,89.0,35.0,25.0,53.0,25.0,29.0,35.0,41.0,33.0,31.0,31.0,29.0,33,37.0,95,95,95.0,69,51,69.0,31.0,73,66.0,75.0,55.0,67.0,49
87,1463,強盛,紡織纖維,43.0,97.0,37.0,87.0,73.0,59.0,89.0,39.0,99.0,57.0,63.0,27.0,29.0,27.0,25.0,75.0,93,95.0,93,93,93.0,73,71,85.0,47.0,55,52.0,25.0,70.0,58.0,66
88,1464,得力,紡織纖維,33.0,45.0,39.0,81.0,33.0,91.0,95.0,91.0,37.0,41.0,95.0,33.0,35.0,43.0,41.0,79.0,31,29.0,91,91,91.0,31,73,93.0,79.0,91,63.0,61.0,68.0,61.0,62
89,1465,偉全,紡織纖維,65.0,39.0,85.0,83.0,35.0,31.0,27.0,27.0,39.0,37.0,33.0,31.0,31.0,37.0,35.0,91.0,97,93.0,89,89,89.0,59,95,73.0,37.0,61,58.0,25.0,88.0,60.0,58
90,1466,聚隆,紡織纖維,77.0,41.0,83.0,33.0,37.0,65.0,33.0,93.0,71.0,75.0,61.0,55.0,53.0,61.0,73.0,57.0,59,45.0,87,87,87.0,75,93,85.0,73.0,63,61.0,60.0,53.0,68.0,66
91,1467,南緯,紡織纖維,85.0,87.0,89.0,85.0,41.0,69.0,59.0,65.0,75.0,81.0,93.0,79.0,73.0,83.0,79.0,43.0,81,91.0,85,85,85.0,79,57,69.0,85.0,65,69.0,68.0,78.0,63.0,76
92,1468,昶和,紡織纖維,99.0,89.0,79.0,57.0,39.0,95.0,61.0,51.0,41.0,51.0,19.0,45.0,47.0,39.0,63.0,61.0,77,89.0,83,83,83.0,41,89,75.0,87.0,87,51.0,31.0,55.0,63.0,67
93,1470,大統新創,紡織纖維,59.0,85.0,33.0,31.0,75.0,55.0,29.0,95.0,53.0,63.0,51.0,35.0,41.0,49.0,33.0,79.0,95,99.0,81,81,81.0,81,85,63.0,41.0,85,60.0,78.0,63.0,45.0,64
94,1471,首利,電子零組件業,41.0,63.0,17.0,61.0,87.0,43.0,46.0,48.0,39.0,43.0,39.0,52.0,51.0,42.0,62.0,73.0,99,99.0,99,99,99.0,30,53,91.0,21.0,37,51.0,25.0,68.0,58.0,59
95,1472,三洋實業,建材營造,57.0,57.0,91.0,37.0,29.0,43.0,0.0,31.0,55.0,49.0,77.0,31.0,35.0,27.0,13.0,63.0,39,39.0,33,31,31.0,0,25,73.0,71.0,47,61.0,25.0,93.0,65.0,42
96,1473,台南,紡織纖維,81.0,95.0,91.0,97.0,55.0,79.0,93.0,59.0,89.0,93.0,97.0,73.0,77.0,67.0,43.0,47.0,53,39.0,79,79,79.0,83,65,99.0,53.0,83,73.0,73.0,70.0,76.0,75
97,1474,弘裕,紡織纖維,75.0,65.0,29.0,73.0,43.0,83.0,73.0,97.0,57.0,67.0,89.0,37.0,45.0,41.0,53.0,89.0,57,49.0,77,77,77.0,85,67,69.0,91.0,81,57.0,55.0,50.0,63.0,67
98,1475,業旺,紡織纖維,53.0,73.0,93.0,63.0,81.0,45.0,47.0,29.0,63.0,45.0,49.0,81.0,81.0,63.0,81.0,71.0,85,65.0,75,75,75.0,19,69,87.0,93.0,71,53.0,25.0,75.0,57.0,67
99,1476,儒鴻,紡織纖維,35.0,27.0,43.0,75.0,61.0,27.0,39.0,45.0,21.0,21.0,39.0,89.0,89.0,93.0,95.0,81.0,27,61.0,73,73,73.0,89,97,65.0,69.0,95,78.0,74.0,80.0,81.0,62
100,1477,聚陽,紡織纖維,47.0,57.0,31.0,89.0,95.0,53.0,63.0,37.0,27.0,27.0,47.0,99.0,99.0,99.0,99.0,87.0,35,35.0,71,71,71.0,97,79,97.0,67.0,99,83.0,61.0,90.0,94.0,68
101,1503,士電,電機機械,21.0,17.0,33.0,19.0,31.0,95.0,93.0,45.0,35.0,35.0,49.0,93.0,95.0,95.0,93.0,23.0,59,51.0,5,99,99.0,99,41,63.0,11.0,39,58.0,45.0,65.0,63.0,55
102,1504,東元,電機機械,11.0,15.0,5.0,77.0,87.0,41.0,83.0,23.0,33.0,27.0,99.0,95.0,93.0,89.0,81.0,67.0,17,55.0,7,49,49.0,89,91,79.0,73.0,97,72.0,62.0,65.0,86.0,59
103,1506,正道,電機機械,43.0,47.0,53.0,37.0,49.0,73.0,45.0,51.0,41.0,43.0,27.0,13.0,13.0,25.0,31.0,79.0,15,5.0,51,47,47.0,69,35,73.0,41.0,33,55.0,34.0,73.0,58.0,42
104,1512,瑞利,汽車工業,42.0,27.0,12.0,0.0,12.0,15.0,6.0,6.0,39.0,36.0,63.0,42.0,39.0,21.0,15.0,21.0,54,54.0,33,33,33.0,0,3,39.0,15.0,0,59.0,50.0,68.0,59.0,25
105,1513,中興電,電機機械,95.0,49.0,99.0,95.0,29.0,5.0,5.0,47.0,61.0,65.0,87.0,79.0,79.0,87.0,87.0,49.0,39,17.0,49,45,45.0,59,33,73.0,9.0,63,66.0,68.0,70.0,62.0,56
106,1514,亞力,電機機械,45.0,67.0,79.0,93.0,85.0,67.0,77.0,65.0,75.0,73.0,89.0,87.0,89.0,93.0,91.0,89.0,75,71.0,47,43,43.0,95,31,77.0,15.0,31,62.0,65.0,73.0,52.0,69
107,1515,力山,電機機械,55.0,61.0,15.0,21.0,21.0,77.0,85.0,63.0,97.0,95.0,95.0,25.0,39.0,19.0,13.0,59.0,11,13.0,45,41,41.0,73,29,73.0,81.0,65,50.0,34.0,50.0,63.0,50
109,1517,利奇,電機機械,49.0,65.0,71.0,55.0,9.0,83.0,71.0,61.0,59.0,63.0,45.0,5.0,5.0,5.0,5.0,35.0,43,39.0,43,39,39.0,35,27,97.0,83.0,29,53.0,35.0,48.0,72.0,45
110,1519,華城,電機機械,5.0,43.0,29.0,89.0,5.0,51.0,9.0,59.0,65.0,69.0,7.0,99.0,99.0,99.0,99.0,39.0,19,25.0,41,37,37.0,83,69,69.0,43.0,27,71.0,71.0,78.0,66.0,51
111,1521,大億,汽車工業,45.0,33.0,99.0,36.0,27.0,45.0,42.0,45.0,96.0,90.0,0.0,36.0,30.0,42.0,54.0,12.0,57,57.0,30,30,30.0,0,3,72.0,0.0,0,49.0,25.0,65.0,54.0,39
112,1522,堤維西,汽車工業,51.0,30.0,33.0,66.0,33.0,33.0,66.0,78.0,36.0,33.0,78.0,21.0,21.0,30.0,45.0,66.0,0,0.0,27,27,27.0,42,3,39.0,21.0,3,64.0,66.0,60.0,66.0,35
113,1524,耿鼎,汽車工業,57.0,51.0,0.0,54.0,0.0,39.0,87.0,75.0,51.0,54.0,87.0,45.0,48.0,36.0,39.0,33.0,15,9.0,24,24,24.0,45,66,63.0,0.0,6,60.0,63.0,68.0,54.0,40
114,1525,江申,汽車工業,36.0,69.0,66.0,48.0,78.0,75.0,54.0,84.0,54.0,57.0,48.0,33.0,33.0,48.0,57.0,6.0,66,66.0,21,21,21.0,81,3,42.0,81.0,36,66.0,60.0,68.0,70.0,49
115,1526,日馳,電機機械,83.0,85.0,91.0,87.0,53.0,75.0,55.0,67.0,79.0,77.0,71.0,43.0,47.0,21.0,7.0,61.0,55,35.0,39,35,35.0,7,71,89.0,25.0,25,66.0,63.0,68.0,67.0,55
116,1527,鑽全,電機機械,15.0,45.0,31.0,39.0,13.0,35.0,19.0,55.0,45.0,47.0,5.0,17.0,17.0,29.0,27.0,11.0,33,63.0,37,33,33.0,93,25,67.0,17.0,69,55.0,55.0,55.0,54.0,35
117,1528,恩德,電機機械,61.0,75.0,37.0,69.0,15.0,33.0,23.0,29.0,67.0,59.0,63.0,47.0,51.0,59.0,53.0,13.0,85,81.0,31,31,31.0,33,23,75.0,87.0,23,52.0,25.0,68.0,60.0,48
118,1529,樂事綠能,電機機械,89.0,83.0,85.0,81.0,25.0,85.0,65.0,53.0,89.0,87.0,73.0,21.0,21.0,9.0,23.0,95.0,57,21.0,33,29,29.0,47,21,73.0,7.0,87,51.0,28.0,78.0,50.0,53
119,1530,亞崴,電機機械,29.0,27.0,17.0,27.0,43.0,29.0,21.0,9.0,17.0,17.0,21.0,59.0,57.0,49.0,47.0,43.0,87,85.0,13,27,27.0,45,73,73.0,57.0,21,49.0,25.0,63.0,58.0,39
120,1531,高林股,電機機械,71.0,53.0,7.0,57.0,99.0,55.0,37.0,27.0,53.0,51.0,37.0,65.0,63.0,67.0,71.0,99.0,47,29.0,29,25,25.0,19,97,97.0,13.0,19,53.0,31.0,65.0,61.0,50
121,1532,勤美,電機機械,37.0,5.0,19.0,13.0,79.0,15.0,47.0,21.0,5.0,5.0,29.0,77.0,77.0,71.0,55.0,83.0,51,33.0,27,23,23.0,41,19,85.0,49.0,83,76.0,87.0,60.0,80.0,41
122,1533,車王電,汽車工業,60.0,84.0,96.0,99.0,75.0,93.0,36.0,72.0,69.0,69.0,42.0,0.0,0.0,18.0,12.0,78.0,21,18.0,0,15,15.0,93,69,51.0,18.0,42,60.0,54.0,60.0,63.0,48
123,1535,中宇,電機機械,67.0,93.0,61.0,99.0,61.0,69.0,81.0,57.0,91.0,89.0,75.0,97.0,97.0,97.0,97.0,31.0,93,89.0,25,21,21.0,87,17,79.0,39.0,71,63.0,34.0,70.0,78.0,69
124,1536,和大,汽車工業,18.0,0.0,54.0,12.0,63.0,69.0,39.0,0.0,0.0,78.0,69.0,51.0,45.0,27.0,51.0,6.0,0,0.0,0,0,0.0,96,96,81.0,0.0,21,57.0,61.0,48.0,62.0,34
125,1537,廣隆,電機機械,23.0,13.0,39.0,15.0,39.0,17.0,31.0,15.0,25.0,21.0,9.0,81.0,83.0,73.0,63.0,87.0,95,91.0,23,19,19.0,49,15,63.0,95.0,17,64.0,45.0,78.0,69.0,43
126,1538,正峰,電機機械,91.0,97.0,87.0,85.0,71.0,87.0,73.0,71.0,87.0,85.0,77.0,57.0,61.0,31.0,17.0,93.0,53,61.0,21,17,17.0,39,81,87.0,71.0,15,49.0,33.0,63.0,52.0,63
127,1539,巨庭,電機機械,81.0,81.0,95.0,91.0,67.0,31.0,25.0,33.0,69.0,61.0,65.0,11.0,11.0,7.0,9.0,81.0,83,93.0,19,15,15.0,17,13,97.0,19.0,73,55.0,41.0,68.0,57.0,49
128,1540,喬福,電機機械,93.0,95.0,97.0,97.0,69.0,89.0,79.0,73.0,93.0,93.0,81.0,31.0,29.0,33.0,33.0,9.0,65,95.0,17,13,13.0,5,11,75.0,37.0,13,50.0,45.0,65.0,43.0,55
129,1541,錩泰,電機機械,39.0,59.0,25.0,17.0,23.0,61.0,59.0,43.0,39.0,39.0,47.0,7.0,9.0,11.0,11.0,17.0,97,97.0,15,11,11.0,31,87,97.0,67.0,11,56.0,60.0,45.0,60.0,40
130,1558,伸興,電機機械,41.0,35.0,27.0,67.0,11.0,23.0,89.0,35.0,37.0,37.0,97.0,91.0,91.0,79.0,77.0,97.0,37,53.0,53,9,9.0,79,9,63.0,69.0,75,74.0,83.0,70.0,71.0,53
131,1560,中砂,電機機械,19.0,19.0,63.0,31.0,33.0,7.0,7.0,37.0,23.0,25.0,33.0,71.0,69.0,77.0,79.0,21.0,29,45.0,35,51,51.0,43,7,63.0,51.0,89,69.0,69.0,68.0,72.0,41
132,1563,巧新,汽車工業,0.0,0.0,15.0,3.0,24.0,0.0,0.0,21.0,3.0,0.0,12.0,24.0,24.0,9.0,3.0,51.0,27,33.0,12,12,12.0,78,75,75.0,33.0,93,49.5,27.5,61.5,57.5,25
133,1568,倉佑,汽車工業,69.0,63.0,60.0,24.0,69.0,78.0,90.0,69.0,42.0,42.0,21.0,27.0,27.0,24.0,36.0,57.0,78,78.0,9,9,9.0,48,3,60.0,78.0,30,62.0,60.0,60.0,65.0,46
134,1582,信錦,電子零組件業,91.0,91.0,86.0,89.0,16.0,90.0,81.0,87.0,92.0,93.0,96.0,73.0,72.0,83.0,83.0,32.0,65,53.0,30,28,28.0,12,80,83.0,87.0,67,61.0,30.0,68.0,78.0,69
135,1583,程泰,電機機械,59.0,69.0,65.0,63.0,89.0,63.0,57.0,99.0,27.0,29.0,67.0,61.0,59.0,61.0,69.0,75.0,25,11.0,99,53,53.0,51,89,83.0,27.0,9,60.0,48.0,75.0,58.0,58
136,1587,吉茂,汽車工業,30.0,18.0,57.0,30.0,42.0,63.0,30.0,0.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,72.0,81,81.0,6,6,6.0,30,78,66.0,75.0,9,62.0,53.0,73.0,61.0,30
137,1589,永冠-KY,電機機械,27.0,7.0,13.0,23.0,41.0,19.0,29.0,19.0,7.0,7.0,13.0,35.0,35.0,37.0,39.0,53.0,7,9.0,11,55,55.0,85,99,67.0,99.0,93,62.0,73.0,45.0,68.0,38
138,1590,亞德客-KY,電機機械,7.0,11.0,41.0,43.0,81.0,9.0,27.0,5.0,9.0,9.0,23.0,33.0,33.0,39.0,37.0,33.0,5,31.0,59,79,79.0,77,93,81.0,31.0,99,63.0,53.0,48.0,83.0,41
139,1597,直得,電機機械,99.0,55.0,77.0,35.0,93.0,59.0,13.0,77.0,55.0,55.0,35.0,29.0,23.0,23.0,19.0,15.0,89,83.0,97,97,97.0,55,95,99.0,29.0,35,69.0,74.0,53.0,77.0,59
140,1598,岱宇,運動休閒,81.0,93.0,57.0,99.0,51.0,69.0,81.0,99.0,99.0,99.0,93.0,9.0,9.0,3.0,3.0,39.0,63,33.0,15,15,15.0,39,57,57.0,75.0,57,74.0,78.0,63.0,82.0,54
141,1603,華電,電器電纜,64.0,43.0,22.0,15.0,92.0,92.0,64.0,36.0,64.0,64.0,29.0,8.0,15.0,15.0,8.0,99.0,22,22.0,99,99,99.0,8,71,71.0,99.0,64,50.0,25.0,58.0,63.0,53
142,1604,聲寶,電器電纜,15.0,99.0,92.0,92.0,64.0,43.0,1.0,99.0,99.0,99.0,15.0,71.0,71.0,78.0,71.0,43.0,43,1.0,92,92,92.0,50,64,64.0,64.0,57,50.0,25.0,60.0,61.0,64
143,1605,華新,電器電纜,1.0,1.0,1.0,99.0,8.0,1.0,71.0,1.0,1.0,1.0,50.0,85.0,92.0,92.0,85.0,78.0,1,50.0,85,85,85.0,92,99,57.0,57.0,99,71.0,60.0,65.0,85.0,53
144,1608,華榮,電器電纜,22.0,50.0,85.0,50.0,57.0,15.0,78.0,78.0,43.0,50.0,64.0,57.0,50.0,64.0,78.0,50.0,99,99.0,78,78,78.0,43,57,64.0,15.0,50,58.0,57.0,50.0,65.0,60
145,1609,大亞,電器電纜,78.0,15.0,8.0,71.0,1.0,8.0,99.0,8.0,8.0,8.0,99.0,99.0,99.0,99.0,99.0,64.0,8,8.0,1,71,71.0,71,92,78.0,78.0,92,64.0,70.0,38.0,81.0,55
146,1611,中電,電器電纜,92.0,78.0,78.0,22.0,50.0,50.0,15.0,85.0,92.0,92.0,1.0,22.0,8.0,1.0,1.0,1.0,92,92.0,71,64,64.0,85,50,50.0,43.0,85,61.0,74.0,45.0,64.0,53
147,1612,宏泰,電器電纜,50.0,64.0,50.0,64.0,99.0,29.0,92.0,64.0,71.0,78.0,36.0,92.0,85.0,85.0,92.0,85.0,85,85.0,64,57,57.0,36,43,64.0,92.0,43,56.0,63.0,35.0,66.0,68
148,1614,三洋電,電器電纜,8.0,92.0,15.0,85.0,43.0,22.0,85.0,92.0,15.0,15.0,57.0,1.0,1.0,8.0,15.0,15.0,29,43.0,57,50,50.0,99,36,85.0,29.0,36,52.0,54.0,53.0,51.0,42
149,1615,大山,電器電纜,85.0,57.0,71.0,57.0,85.0,85.0,57.0,29.0,57.0,36.0,85.0,36.0,36.0,36.0,43.0,92.0,64,64.0,50,43,43.0,29,85,99.0,1.0,29,54.0,40.0,58.0,61.0,56
150,1616,億泰,電器電纜,99.0,85.0,29.0,78.0,36.0,36.0,36.0,71.0,78.0,71.0,8.0,43.0,43.0,50.0,36.0,71.0,57,57.0,43,36,36.0,22,29,92.0,50.0,22,55.0,53.0,63.0,52.0,51
151,1617,榮星,電器電纜,71.0,71.0,99.0,1.0,29.0,71.0,43.0,43.0,85.0,85.0,92.0,15.0,22.0,22.0,22.0,36.0,78,78.0,36,29,29.0,15,22,64.0,8.0,15,47.0,25.0,58.0,56.0,45
152,1618,合機,電器電纜,36.0,29.0,43.0,43.0,22.0,64.0,29.0,57.0,36.0,43.0,43.0,78.0,78.0,71.0,64.0,29.0,36,15.0,29,22,22.0,64,15,78.0,85.0,8,60.0,49.0,63.0,67.0,44
153,1626,艾美特-KY,電器電纜,43.0,8.0,64.0,29.0,15.0,99.0,8.0,15.0,22.0,22.0,22.0,50.0,57.0,43.0,50.0,8.0,50,36.0,22,15,15.0,78,78,50.0,22.0,78,64.0,72.0,55.0,65.0,38
155,1702,南僑,食品工業,11.0,15.0,23.0,43.0,59.0,15.0,95.0,11.0,23.0,23.0,35.0,95.0,95.0,95.0,87.0,75.0,15,35.0,95,95,95.0,71,71,91.0,23.0,87,73.0,73.0,70.0,75.0,57
