公司名稱,產業類別,資料範圍,用水密集度-單位,取得驗證,資料範圍.1,取得驗證.1,範疇一-資料邊界,範疇一-取得驗證,範疇二-資料邊界,範疇二-取得驗證,範疇三-資料邊界,範疇三-取得驗證,溫室氣體排放密集度-單位,有害廢棄物量-資料範圍,非有害廢棄物量-資料範圍,總重量(有害+非有害)-資料範圍,廢棄物密集度-單位,取得驗證.2,公司代號,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-席,女性董事席次及比率-比率,董事出席董事會出席率,董監事進修時數符合進修要點比率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位)
帝寶,汽車工業,,,ISO 14001,0,N,,N,,N,,N,,僅母公司,僅母公司,僅母公司,,N,6605.0,669.0,559.0,586.0,547.0,0.1215,7.0,0.0027,31541.0,16842.0146,1.0,0.0,306.055,3867.4,1545373.72,0.99575,7.0,1.0,2.0,0.2857,0.9792,0.7143,0.0,122.0,122.0,55.96305
八貫,其他,,,N,,N,,N,,N,,N,,,,,,N,1342.0,812.0,718.0,643.0,510.0,0.3333,7.0,0.02,14799.5,30599.0,1.0,0.15325,3.335,374.5,318.00045,30.43,7.0,3.0,0.0,0.0,0.96,1.0,0.0,250.1615,23.7715,925.513
廣豐,其他,,,N,,N,,N,,N,,N,,,,,,N,1416.0,1613.0,1250.0,766.0,781.0,0.4286,0.0,0.0,14799.5,30599.0,1.0,0.15325,3.335,374.5,318.00045,30.43,8.0,3.0,0.0,0.0,0.9661,0.625,0.0,250.1615,23.7715,925.513
中福,其他,僅母公司,無生產活動，以平均每月用水量計算,N,,N,,N,僅母公司,N,,N,無生產活動，以平均每月用電量計算,僅母公司,僅母公司,僅母公司,無生產活動，以平均每月生活廢棄物量計算,N,1435.0,827.0,757.0,1005.0,552.0,0.667,0.0,0.0,473.0,39.0,1.0,0.0142,3.335,729.0,17.63045,60.75,7.0,3.0,0.0,0.0,0.959,1.0,0.0,0.323,0.323,0.026
勤益控,其他,,,N,,N,,N,,N,,N,,,,,,N,1437.0,3654.0,3355.0,696.0,415.0,0.25,0.0,0.0,236.75,30599.0,2.0,0.15325,3823.17,374.5,318.00045,30.43,7.0,3.0,0.0,0.0,1.0,1.0,0.0,250.1615,250.1615,925.513
立益物流,其他,,,N,,N,,N,,N,,N,,,,,,N,1443.0,784.0,664.0,604.0,574.0,0.1494,0.0,0.0,14799.5,30599.0,1.0,0.15325,3.335,374.5,318.00045,30.43,9.0,2.0,0.0,0.0,0.82,0.11,0.0,250.1615,23.7715,925.513
川飛,其他,,,N,,N,,N,,N,,N,,,,,,N,1516.0,845.0,749.0,521.0,694.0,0.0,0.0,0.0,14799.5,30599.0,1.0,0.15325,3.335,374.5,318.00045,30.43,8.0,3.0,2.0,0.25,1.0,0.75,0.0,250.1615,23.7715,925.513
海悅,其他,,,N,,N,,N,,N,,N,,,,,,N,2348.0,1827.0,1633.0,1372.0,1136.0,0.3182,0.0,0.0,14563.25,30599.0,1.0,0.15325,3823.17,374.5,318.00045,30.43,7.0,2.0,1.0,0.1426,0.9286,0.2857,0.0,250.1615,273.61,925.513
卓越,其他,,,N,,N,,N,,N,,N,,,,,,N,2496.0,1303.0,1005.0,599.0,586.0,1.0,0.0,0.0,14563.25,30599.0,2.0,0.15325,3823.17,374.5,318.00045,30.43,9.0,3.0,5.0,0.56,0.93,1.0,0.0,250.1615,273.61,925.513
龍邦,其他,,,N,,N,,N,,N,,N,,,,,,N,2514.0,1750.0,1559.0,770.0,703.0,0.8,0.0,0.0,14563.25,30599.0,1.0,0.15325,3823.17,374.5,318.00045,30.43,7.0,3.0,1.0,0.1429,0.9642,0.5714,0.0,250.1615,273.61,925.513
匯僑,其他,臺中港西二及西五槽區,,N,,N,,N,,N,,N,,臺中港西二及西五槽區,臺中港西二及西五槽區,臺中港西二及西五槽區,,N,2904.0,1049.0,875.0,671.0,655.0,0.2,0.0,0.0,29126.0,2.4203,1.0,0.0142,6495.827399999999,2346.1652999999997,11761.59545,0.9902,5.0,2.0,0.0,0.0,0.95,1.0,0.0,685.3824999999999,47.22,0.09440000000000001
遠見,其他,母公司,,N,,N,母公司,N,母公司,N,,N,,母公司,母公司,母公司,,N,3040.0,1157.0,1001.0,815.0,828.0,0.5,0.0,0.0,0.5,19.5124,1.0,0.0142,0.0,20.0,17.63045,30.42965,7.0,3.0,2.0,0.286,1.0,1.0,0.0,500.0,500.0,0.013049999999999999
jpp-KY,其他,泰國經寶精密工業股份有限公司,製程,ISO14001 No. 44 104 082456,泰國經寶精密工業股份有限公司,M.0117,,N,,N,,N,,Jan - Dec 2021,Jan - Dec 2021,Jan - Dec 2021,製程,ISO14001 No. 44 104 082456,5284.0,1212.0,1046.5,898.0,726.5,0.1923,21.0,0.0208,92730.0,61159.0,1.0,0.1622,359.7124,2939.1902999999998,1924.25045,0.68,7.0,3.0,1.0,0.1429,1.0,1.0,1368.81,52.78,1421.59,1851.0
中租-KY,其他,全企業，資料出處:2021年CSR報告書,營業額,N,,ISO 50001,全企業，資料出處:2021年CSR報告書,ISO 14064,全企業，資料出處:2021年CSR報告書,ISO 14064,全企業，資料出處:2021年CSR報告書,ISO 14064,營業額,台灣地區，資料出處:2021年CSR報告書,台灣地區，資料出處:2021年CSR報告書,台灣地區，資料出處:2021年CSR報告書,,ISO 14001,5871.0,876.0,753.5,596.5,514.5,0.2906,8.0,0.001,83354.13,1.16,15.0,0.09530000000000001,7646.34,5015.82,601.9,0.11,9.0,3.0,1.0,0.1111,0.9907,1.0,9.58,760.3149999999999,273.193,0.07095000000000001
大豐電,其他,,,N,,N,,N,,N,,N,,,,,,N,6184.0,975.0,844.0,610.0,514.0,0.4444,1.0,0.0111,205610.065,38904.58,1.0,0.15325,3826.505,2515.5,318.00045,0.501,7.0,2.0,1.0,0.1429,1.0,0.2,0.0,227.235,229.8315,136.0
台數科,其他,僅母公司,,N,,N,僅母公司,N,僅母公司,N,,N,,僅母公司,僅母公司,僅母公司,,N,6464.0,1565.0,1362.0,569.0,506.0,0.5455,0.0,0.0,1.03,19.5124,1.0,0.0142,6.67,15.18,17.63045,30.42965,15.0,3.0,2.0,0.1333,0.6667,1.0,0.0,4.31,4.31,0.013049999999999999
南六,其他,110/1/1-110/12/31,,N,,N,,N,,N,,N,,110/1/1-110/12/31,110/1/1-110/12/31,110/1/1-110/12/31,原物料,ISO 14001,6504.0,786.0,640.0,547.0,500.0,0.1667,33.0,0.0844,327866.0,4182.73,1.0,0.0811,1419.8274000000001,7896.8003,23.560450000000003,1768.21855,9.0,3.0,1.0,0.1111,0.94,1.0,0.0,186.47,186.47,4.0
鼎基,其他,母公司,營業額,N,,N,,N,,N,,N,,母公司,母公司,母公司,營業額,ISO 14001,6585.0,879.0,747.0,691.0,582.5,0.2093,4.0,0.0068,77808.0,77808.0,0.0,0.09530000000000001,1081.0624,1476.1853,1924.25045,1.18215,7.0,3.0,0.0,0.0,0.91,1.0,0.0,268.0,268.0,268.0
和潤企業,其他,,,N,,N,僅母公司,ISO 14064,僅母公司,ISO 14064,僅母公司,ISO 14064,,,,,,N,6592.0,1449.0,1249.0,1186.0,939.0,0.1818,0.0,0.0,38904.515,69483.5,4.0,0.0811,215.0248,36.1806,34.1009,1.04385,9.0,3.0,0.0,0.0,0.9778,1.0,0.0,136.155,136.155,136.0
必應,其他,,,N,,N,,N,,N,,N,,,,,,N,6625.0,777.0,663.0,583.0,515.0,0.23,1.0,0.0036,202837.0,38904.58,1.0,0.15325,3826.505,2515.5,318.00045,0.501,7.0,3.0,0.0,0.0,0.9167,1.0,0.0,227.235,227.235,136.0
科定,其他,,,N,,N,,N,,N,,N,,,,,,N,6655.0,926.0,821.0,799.0,650.0,0.0932,12.0,0.0162,202837.0,38904.58,1.0,0.15325,110.8474,25.6803,318.00045,0.501,7.0,3.0,1.0,0.1428,0.987,1.0,0.0,227.235,227.235,136.0
雷虎,其他,110年1月-110年12月,營業額以仟元計算,N,,N,,N,,N,,N,,110年1月-110年12月,110年1月-110年12月,110年1月-110年12月,營業額以仟元計算,N,8033.0,1115.0,967.0,609.0,593.0,0.1112,39.0,0.0,3031.2,0.0248,1.0,0.0142,1081.0624,1476.1853,17.63045,30.42965,7.0,2.0,2.0,0.2858,0.8715,1.0,0.0,70.405,7.2,0.0001
百和興業-KY,其他,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,,N,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,N,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,N,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,N,,N,產品,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,江蘇百宏複合材料科技股份有限公司(原公司名稱:無錫百和織造股份有限公司)、東莞百宏實業有限公司、越南百宏責任有限公司,,N,8404.0,1004.5,823.5,675.5,666.5,0.003,27.0,0.0072,987125.0,10.254999999999999,1.0,0.1443,21492.41,68259.39,898848.55045,7.51,8.0,3.0,0.0,0.0,0.9857,1.0,115.53,5067.39,5182.92,2.0025
福貞-KY,其他,集團所屬生產基地,,N,,ISO 5001:2018,,N,,N,,N,,,,,,N,8411.0,1004.5,823.5,675.5,666.5,0.2667,8.0,0.0063,800468.0,10.254999999999999,3.0,0.07215,10853.7174,34147.7853,898848.55045,4.201,7.0,3.0,2.0,0.2857,0.9592,1.0,57.765,2593.695,2651.46,2.0025
威宏-KY,其他,,,N,,N,,N,,N,,N,,,,,,N,8442.0,1082.0,935.0,877.0,788.5,0.0,0.0,0.0,691101.5,8.236099999999999,1.0,0.07215,272641.785,54656.9,898838.01,4.201,9.0,3.0,0.0,0.0,0.94,1.0,0.0,72.6125,72.6125,0.0136
潤泰材,其他,宜蘭冬山廠冷卻用水,,N,,N,潤泰精密材料股份有限公司宜蘭冬山廠,N,潤泰精密材料股份有限公司宜蘭冬山廠,N,,N,熟料產量,宜蘭冬山廠,宜蘭冬山廠,宜蘭冬山廠,,N,8463.0,868.0,713.0,643.0,555.0,0.0121,5.0,0.0152,581735.0,38922.5131,1.0,0.0811,523791.16,41054.41,23.560450000000003,0.892,9.0,3.0,1.0,0.1111,0.9028,1.0,0.0,120.0,120.0,2.03595
美吉吉-KY,其他,,,N,,N,,N,,N,,N,,,,,,N,8466.0,1082.0,935.0,877.0,788.5,0.2245,21.0,0.023,298532.0,8.236099999999999,3.0,0.07215,272641.785,54656.9,898838.01,4.201,8.0,2.0,0.0,0.0,0.9444,1.0,0.0,72.6125,72.6125,0.0136
政伸,其他,僅母公司,百萬營業額,N,,N,,N,,N,,N,,僅母公司,僅母公司,僅母公司,百萬營業額,N,8481.0,1296.0,1157.0,1111.0,1022.0,0.3846,3.0,0.0112,15329.0,16.4474,2.0,0.0142,602.3699,433.0938,17.63045,1.04385,11.0,3.0,1.0,0.09,1.0,1.0,0.0,25.225,25.225,0.0271
吉源-KY,其他,,,N,,N,,N,,N,,N,,,,,,N,8488.0,1082.0,935.0,877.0,788.5,0.2222,0.0,0.0,298532.0,8.236099999999999,1.0,0.07215,272641.785,54656.9,898838.01,4.201,9.0,3.0,1.0,0.1111,1.0,1.0,0.0,72.6125,72.6125,0.0136
台火,其他,,,N,,N,,N,,N,,N,,,,,,N,9902.0,1227.0,994.0,668.0,710.0,0.375,0.0,0.0,912737.0,4.2665500000000005,1.0,0.0142,284974.07999999996,69497.705,910576.045,0.521,7.0,3.0,0.0,0.0,1.0,1.0,177.205,2177.6,2354.805,2.01275
大華,其他,母公司,百萬營業額,N,,N,,N,,N,,N,,母公司,母公司,母公司,百萬營業額,N,9905.0,795.0,633.0,668.0,625.0,0.1951,2.0,0.0067,100007.0,37.0262,1.0,0.09530000000000001,3930.6824,2526.0002999999997,318.00045,0.68,10.0,3.0,2.0,0.2,0.9333,0.5,19.16,175.09,194.25,0.0719
統一實,其他,用水量為台灣總公司之總取水量,產品,N,,N,台灣總公司排放量,ISO 14064,台灣總公司排放量,ISO 14064,台灣總公司排放量,ISO 14064,產品,廢棄物量為台灣總公司所產生之廢棄物,廢棄物量為台灣總公司所產生之廢棄物,廢棄物量為台灣總公司所產生之廢棄物,產品,N,9907.0,992.0,826.0,824.0,791.0,0.1042,7.0,0.0062,1243739.0,1.29,2.0,0.15325,46157.0,97941.0,1797663.0,0.15,10.0,3.0,1.0,0.1,1.0,1.0,354.41,4235.2,4589.61,0.005
中保科,其他,母公司,計算標準:排放量/每百萬元營收,N,,N,母公司,N,母公司,N,,N,計算標準:排放量/每百萬元營收,母公司,母公司,母公司,計算標準:排放量/每百萬元營收,N,9917.0,905.0,760.0,729.0,677.0,0.286,41.0,0.017,52006.0,7.2431,4.0,0.0142,3340.4,4660.18,1924.25045,1.1143,11.0,3.0,1.0,0.0909,0.9727,1.0,0.0,685.3824999999999,28.867,4.0205
康那香,其他,僅個體公司所有製造廠區(不含分公司),產量(噸),N,僅個體公司所有製造廠區(不含分公司),N,僅個體公司所有製造廠區(不含分公司),N,僅個體公司所有製造廠區(不含分公司),N,僅個體公司所有製造廠區(不含分公司),N,產量(噸),僅個體公司所有製造廠區(不含分公司),僅個體公司所有製造廠區(不含分公司),僅個體公司所有製造廠區(不含分公司),產量(噸),N,9919.0,760.0,648.0,552.0,484.0,0.4,12.0,0.0123,226983.0,19.22,2.0,0.0,2624.63,15757.42,13.02,3120.34,9.0,3.0,3.0,0.3333,0.9884,1.0,0.0,1301.0,1301.0,0.2
新保,其他,母公司,,N,,N,母公司,N,母公司,N,,N,,母公司,母公司,母公司,,N,9925.0,813.0,676.0,659.0,609.0,0.0567,19.0,0.0105,5807.0,3.0939,1.0,0.0142,1947.1,2916.19,17.63045,1.04385,9.0,4.0,0.0,0.0,0.8687,0.6667,0.0,136.5,136.5,0.029400000000000003
泰銘,其他,全廠,產品,N,,N,母公司,N,母公司,N,,N,產品,全廠,全廠,全廠,產品,N,9927.0,902.0,757.0,668.0,633.0,0.0909,0.0,0.0,29629.0,0.9848,1.0,0.0142,12776.63,4656.15,11761.59545,0.5794,9.0,3.0,0.0,0.0,0.96,0.5556,0.0,685.3824999999999,565.75,0.0188
中視,其他,,,N,,N,,N,,N,,N,,,,,,N,9928.0,782.0,653.0,683.0,623.0,0.2857,3.0,0.0067,52907.0,23.866400000000002,1.0,0.0142,8212.105,37507.93,11751.055,6.7712,9.0,3.0,2.0,0.2222,0.9524,0.7778,9.58,155.79500000000002,165.375,0.06415
秋雨,其他,僅母公司,,N,,N,,N,,N,,N,,僅母公司,僅母公司,僅母公司,,N,9929.0,654.0,536.0,501.0,470.0,0.4,1.0,0.0083,9600.0,8.4348,1.0,0.0142,947.3175,727.3634999999999,17.63045,1.04385,6.0,2.0,0.0,0.0,0.974,0.143,0.0,1.8,1.8,0.057550000000000004
中鼎,其他,中鼎總部大樓加上全球工地用水量,百萬工時,N,,N,中鼎總部大樓加上全球所有工地,ISO 14064,中鼎總部大樓加上全球所有工地,ISO 14064,根據顯著性評估結果，2021年僅盤查廢棄物運輸及處理（總部）以及車輛租賃用油（總部與國內工地）。,ISO 14064,百萬工時,中鼎總部大樓加上全球工地的一般廢棄物量,中鼎總部大樓加上全球工地的一般廢棄物量,中鼎總部大樓加上全球工地的一般廢棄物量,百萬工時,N,9933.0,1436.0,1249.0,1191.0,1074.0,0.1382,0.0,0.0,192542.0,8346.24,4.0,0.0142,4477.33,5121.74,205.4385,416.0971,12.0,4.0,1.0,0.0833,0.9405,1.0,0.0,1776.49,1776.49,77.0067
百和,其他,台灣百和工業股份有限公司,產品,N,,N,台灣百和工業股份有限公司,N,台灣百和工業股份有限公司,N,台灣百和工業股份有限公司,N,產品,台灣百和工業股份有限公司,台灣百和工業股份有限公司,台灣百和工業股份有限公司,產品,N,9938.0,880.0,767.0,671.0,525.0,0.143,20.0,0.02,30674.41,3.8558,4.0,0.0142,2844.1,8301.67,23489.09,1.401,8.0,3.0,2.0,0.25,1.0,1.0,0.0,1345.54,1345.54,0.17
宏全,其他,僅母公司,,N,,N,僅母公司,N,僅母公司,N,,N,營業額,僅母公司,僅母公司,僅母公司,,ISO 14001,9939.0,766.0,673.0,648.0,599.0,0.0545,2.0,0.0055,1580417.0,10.254999999999999,4.0,0.07215,14477.11,72099.67,898848.55045,11.564,9.0,3.0,1.0,0.11,0.98,0.667,72.89,11705.71,11778.6,2.0025
信義,其他,信義房屋股份有限公司,員工人數,ISO46001,信義房屋股份有限公司,ISO 14001、ISO50001、 ISO46001,信義房屋股份有限公司,ISO 14064,信義房屋股份有限公司,ISO 14064,信義房屋股份有限公司,ISO 14064,員工人數,信義房屋股份有限公司,信義房屋股份有限公司,信義房屋股份有限公司,員工人數,ISO 14001,9940.0,1570.0,1412.0,1263.0,945.0,0.185,191.0,0.0375,73026.0,14.34,4.0,0.0284,504.4,5842.2,3814.4,1.25,7.0,4.0,1.0,0.1429,0.96,1.0,9.58,760.3149999999999,381.659,0.07
裕融,其他,母公司+子公司新鑫、裕富數位,人,N,母公司+子公司新鑫、裕富數位,N,母公司+子公司新鑫、裕富數位,N,母公司+子公司新鑫、裕富數位,N,母公司+子公司新鑫、裕富數位,N,營業額(百萬元),母公司+子公司新鑫、裕富數位,母公司+子公司新鑫、裕富數位,母公司+子公司新鑫、裕富數位,人,N,9941.0,1732.0,1560.0,1285.0,1063.0,0.289,3.0,0.0044,7636.0,6.163,4.0,0.0,904.92,624.72,1.16,0.1093,11.0,4.0,1.0,0.0909,0.935,1.0,0.0,26.854999999999997,72.72,0.0587
茂順,其他,,,N,,N,,N,,N,,N,,,,,,N,9942.0,703.0,590.0,567.0,518.0,0.2,4.0,0.0039,118415.5,14.9633,2.0,0.0142,1807.1725000000001,8293.7135,11751.055,1561.1592,9.0,3.0,3.0,0.3333,0.9048,1.0,0.0,676.455,676.455,0.1282
新麗,其他,新麗八德廠,產品,N,,N,新麗企業八德廠,N,新麗企業八德廠,N,,N,產品,新麗企業八德廠,新麗企業八德廠,新麗企業八德廠,產品,N,9944.0,714.0,613.0,608.0,525.0,0.3846,0.0,0.0,9848.0,10.7066,1.0,0.0142,989.715,830.007,17.63045,1.9784,7.0,3.0,4.0,0.57,1.0,1.0,0.0,51.91,51.91,0.0564
潤泰新,其他,冬山廠(子公司)冷卻用水,,N,,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,,N,熟料產能,冬山廠(子公司),冬山廠(子公司),冬山廠(子公司),,N,9945.0,1110.0,983.0,653.0,376.0,0.38,0.0,0.0,581735.0,38922.5131,1.0,0.0811,523791.16,41054.41,23.560450000000003,0.892,9.0,3.0,3.0,0.3333,0.8718,1.0,0.0,120.0,120.0,2.03595
遠東新,紡織纖維,統計範疇共21個生產據點,產品,ISO 46001,統計範疇共21個生產據點,ISO 50001,統計範疇共21個生產據點,N,統計範疇共21個生產據點,N,統計範疇共20個生產據點(遠東服裝(蘇州)預計搬遷，故未盤查範疇三數據),N,產品,統計範疇共21個生產據點,統計範疇共21個生產據點,統計範疇共21個生產據點,產品,ISO 14001,1402.0,1286.0,1103.0,976.0,849.0,0.19,101.0,0.005,22627000.0,2.93,10.0,0.011,1341000.0,1145000.0,8211000.0,0.32,13.0,3.0,2.0,0.15,0.91,1.0,17480.0,191108.0,208588.0,0.0271
新纖,紡織纖維,新光合纖 中壢廠及觀音廠用水統計表,產品,N,,N,新光合纖中壢廠,ISO 14064,新光合纖中壢廠,ISO 14064,,N,營業額,新光合纖中壢廠,新光合纖中壢廠,新光合纖中壢廠,,N,1409.0,907.0,778.0,761.0,611.0,0.0889,3.0,0.0016,1981972.0,2.05,1.0,0.0045,112287.86,177128.39,83395.33,15.31,12.0,3.0,1.0,0.0833,0.9762,1.0,0.0,1743.2,1743.2,0.2137
南染,紡織纖維,,,N,,N,,N,,N,,N,,,,,,N,1410.0,673.0,580.0,537.0,547.0,0.4118,0.0,0.0,306961.0,88.03,1.0,0.0003,64897.875,38279.020000000004,338747.56,4.74515,7.0,4.0,0.0,0.0,0.7755,0.7142,0.0,2031.5,2031.5,1817.8500000000001
宏洲,紡織纖維,僅母公司,產品,N,僅母公司,N,僅母公司,N,僅母公司,N,,N,產品,僅母公司,僅母公司,僅母公司,產品,N,1413.0,741.0,623.0,648.0,614.0,0.18,2.0,0.0085,392110.0,2.59,1.0,0.0,19626.0,46167.0,12190.17,0.436,9.0,2.0,2.0,0.22,0.84,1.0,118.53,338.455,71.51,0.0004
東和,紡織纖維,本公司,,N,本公司,N,本公司,N,本公司,N,本公司,N,,本公司,本公司,本公司,,N,1414.0,675.0,557.0,564.0,527.0,0.176,4.0,0.019,43478.0,1801.1229,1.0,0.0,0.0,15865.0,0.0,0.4705,7.0,3.0,1.0,0.14,1.0,0.714,0.0,129.0,129.0,4.2001
嘉裕,紡織纖維,,,N,,N,,N,,N,,N,,,,,,N,1417.0,663.0,558.0,551.0,446.0,0.5384,3.0,0.01,297008.0,1800.69,1.0,0.0003,84329.795,30484.97,338747.56,6.970149999999999,7.0,3.0,2.0,0.286,0.9762,1.0,0.0,1971.29,1971.29,1817.8500000000001
東華,紡織纖維,本公司新竹廠,,N,,N,僅母公司,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫,僅母公司,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫,,環保署溫室氣體查證指引 ；經濟部工業局溫室氣體排放管理及輔導計畫,,本公司新竹廠,本公司新竹廠,本公司新竹廠,,N,1418.0,994.0,694.0,542.0,478.0,0.1429,0.0,0.0,3515.0,13.925,1.0,0.0055,32.8251,786.405,242.5,1.925,9.0,2.0,0.0,0.0,0.9433,0.0,0.0,9.0,9.0,0.0004
新紡,紡織纖維,母公司生產區域,產品,N,,N,,N,母公司生產單位,N,,N,產品,母公司生產區域,母公司生產區域,母公司生產區域,產品,N,1419.0,792.0,672.0,652.0,564.0,0.56,0.0,0.0,80071.0,0.0118,1.0,0.0,4.8825,14227.0,242.5,0.0021,7.0,3.0,0.0,0.0,0.9855,1.0,0.0,36.11,36.11,0.0
利華,紡織纖維,母公司,元營業額,N,,N,母公司,N,,N,,N,營業額,母公司,母公司,母公司,元營業額,N,1423.0,742.0,619.0,508.0,442.0,0.3333,1.0,0.0149,2.207,0.0,1.0,0.0055,1036.0,422.7025,242.5,0.0,5.0,3.0,5.0,1.0,0.8333,1.0,0.0,5.58,5.58,0.0
福懋,紡織纖維,台灣廠區,營業額 百萬元(新台幣),N,,ISO 50001,台灣廠區,ISO 14064,台灣廠區,ISO 14064,,N,營業額 百萬元(新台幣),台灣廠區,台灣廠區,台灣廠區,營業額 百萬元(新台幣),N,1434.0,600.0,504.0,567.0,507.0,0.17,14.0,0.0024,6137000.0,250.59,2.0,0.0,254487.0,93266.0,83395.33,14.22,11.0,3.0,1.0,0.0909,0.95,1.0,20324.0,2532.0,22856.0,0.93
南紡,紡織纖維,仁德廠+太子廠,產量公噸,ISO50001與ISO14001,,ISO 50001,"仁德廠,太子廠",ISO 14064,"仁德廠,太子廠",ISO 14064,"仁德廠,太子廠",ISO 14064,產量公噸,仁德廠+太子廠,仁德廠+太子廠,仁德廠+太子廠,產量公噸,ISO 14001,1440.0,783.0,663.0,631.0,560.0,0.0961,9.0,0.008,808560.0,2.6,2.0,0.0882,60595.73,83942.24,677495.12,2.64,20.0,4.0,5.0,0.25,0.9,1.0,36.31,564.0,600.31,0.0019
大東,紡織纖維,,,N,,N,,N,,N,,N,,,,,,N,1441.0,830.0,697.0,600.0,559.0,0.1875,0.0,0.0,444315.5,1.3059,1.0,0.0,48131.865000000005,49084.62,350695.23,1.32105,7.0,3.0,1.0,0.1429,1.0,0.86,18.155,300.055,318.21,0.00095
力麗,紡織纖維,母公司各廠區,產品,N,母公司各廠區,N,力麗化纖總廠,ISO 14064,力麗化纖總廠,ISO 14064,,N,產品,母公司各廠區,母公司各廠區,母公司各廠區,,N,1444.0,690.0,565.0,563.0,488.0,0.2273,7.0,0.0075,570444.0,1.38,1.0,0.0006,129795.75,60693.04,12190.17,0.4003,9.0,3.0,1.0,0.1111,0.8547,1.0,0.0,3934.0,3934.0,0.0051
大宇,紡織纖維,,,N,,N,,N,,N,,N,,,,,,N,1445.0,676.0,571.0,539.0,471.0,0.2,0.0,0.0,297008.0,1800.69,1.0,0.0003,102863.14499999999,30484.97,338747.56,4.74515,7.0,3.0,0.0,0.0,0.9863,0.2727,0.0,1971.29,1971.29,4.20115
宏和,紡織纖維,母公司,產品,N,,N,,N,母公司,N,,N,,母公司,母公司,母公司,噸,N,1446.0,685.0,574.0,577.0,476.0,0.1463,0.0,0.0,23572.0,3600.0,1.0,0.0055,16.41255,276.9,242.5,0.01105,9.0,3.0,2.0,0.2222,0.8182,0.5556,0.0,8.58,8.58,8.4
力鵬,紡織纖維,母公司各廠區,產品,N,,ISO 50001,母公司楊梅廠及尼龍廠,ISO 14064,母公司楊梅廠及尼龍廠,ISO 14064,,N,,母公司各廠區,母公司各廠區,母公司各廠區,,N,1447.0,735.0,591.0,555.0,499.0,0.2373,3.0,0.0057,4395898.0,24.7,1.0,0.0,94305.5,144960.7,83395.33,11.655000000000001,9.0,3.0,2.0,0.2222,0.9572,1.0,429.0,8156.0,8585.0,0.46515
佳和,紡織纖維,母公司,產品,N,母公司,N,母公司,N,母公司,N,,N,產品,母公司,母公司,母公司,產品,N,1449.0,588.0,492.0,503.0,482.0,0.317,2.0,0.0023,2075900.0,361.18,1.0,0.0,7736.0,67643.23,83395.33,8.024,11.0,3.0,0.0,0.0,0.73,0.8,0.0,310.0,310.0,0.016
年興,紡織纖維,2021年母公司總用水量,仟元營業額,N,2021年母公司。,N,,N,,N,,N,,2021年,2021年,2021年,仟元營業額,N,1451.0,744.0,634.0,595.0,526.0,0.22,1.0,0.0012,704199.0,0.088,1.0,0.1758,48795.240000000005,117836.64000000001,350695.23,1.725,9.0,3.0,0.0,0.0,0.9495,1.0,0.0,1841.0,1841.0,0.0002
宏益,紡織纖維,包含合併財務報表之母子公司,產品,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,包含合併財務報表之母子公司,N,,N,產品,包含合併財務報表之母子公司,包含合併財務報表之母子公司,包含合併財務報表之母子公司,產品,N,1452.0,959.0,823.0,740.0,626.0,0.33,17.0,0.0711,64039.0,2.2458,1.0,0.0,9.765,26761.62,242.5,0.9389,9.0,3.0,1.0,0.1111,0.9206,1.0,0.0,6.8,6.8,0.0002
台富,紡織纖維,,,N,,N,,N,,N,,N,,,,,,N,1454.0,649.0,541.0,515.0,449.0,0.068,0.0,0.0,4408.5,1482.12135,1.0,0.0003,19431.92,30829.005,338747.56,7.364249999999999,9.0,2.0,0.0,0.0,1.0,0.44,0.0,1841.72,1841.72,1813.6511500000001
