,Unnamed: 0,公司代號,公司名稱,產業類別,員工福利平均數(仟元/人),員工薪資平均數(仟元/人),非擔任主管職務之全時員工薪資平均數(仟元/人),非擔任主管之全時員工薪資中位數(仟元/人),管理職女性主管占比,職業災害人數及比率-人數,職業災害人數及比率-比率,用水量(公噸),用水密集度-密集度(公噸/單位),公司年度召開法說會次數(次),使用率(再生能源/總能源),範疇一-排放量(噸CO2e),範疇二-排放量(噸CO2e),範疇三-排放量(噸CO2e),溫室氣體排放密集度-密集度(噸CO2e/單位),董事席次(含獨立董事)(席),獨立董事席次(席),女性董事席次及比率-比率,董事出席董事會出席率,有害廢棄物量-數據(公噸),非有害廢棄物量-數據(公噸),總重量(有害+非有害)-數據(公噸),廢棄物密集度-密集度(公噸/單位),E,S,G,ESG_ByPR
77,77,2536,宏普,建材營造,17,17,67,9,69,97,97,71,95,1,87,93,81,33,91,89,43,0,79,19,91,35,71,70,51,47,54
78,78,2537,聯上發,建材營造,77,81,59,13,85,53,53,23,51,41,19,0,39,67,23,57,99,0,99,45,95,39,3,37,56,64,46
79,79,2538,基泰,建材營造,79,87,89,0,17,95,95,45,59,13,7,65,99,77,43,5,47,71,3,75,3,57,17,50,74,26,51
80,80,2539,櫻花建,建材營造,15,15,35,67,77,1,0,11,93,39,9,85,29,0,97,87,95,0,81,97,51,47,83,55,22,63,46
81,81,2540,愛山林,建材營造,97,97,99,0,35,93,93,7,15,47,11,15,9,17,61,85,93,77,0,95,43,33,61,33,80,56,54
82,82,2542,興富發,建材營造,51,63,75,55,89,91,91,43,49,43,79,55,45,79,39,83,91,33,61,93,47,91,19,58,71,67,65
83,83,2543,皇昌,建材營造,0,0,0,95,47,0,3,0,21,73,77,23,5,39,67,81,89,23,49,91,53,21,55,41,16,60,37
84,84,2545,皇翔,建材營造,55,57,83,31,51,89,89,47,41,71,75,1,19,41,31,1,87,5,83,89,89,53,0,44,67,50,51
85,85,2546,根基,建材營造,19,21,53,33,33,0,5,59,55,69,73,47,57,81,0,27,85,59,9,87,5,13,5,44,22,47,40
86,86,2547,日勝生,建材營造,49,51,55,45,75,87,87,25,17,87,71,27,27,19,57,59,83,91,85,85,7,43,69,41,62,80,57
87,87,2548,華固,建材營造,99,99,95,0,19,85,85,69,85,83,69,75,97,97,83,23,81,29,51,83,15,99,91,78,77,48,67
88,88,2597,潤弘,建材營造,71,73,85,17,39,15,15,3,87,61,13,0,0,0,59,21,79,53,15,81,99,95,85,47,46,45,46
89,89,2923,鼎固-KY,建材營造,37,47,77,57,91,83,83,0,11,59,15,13,0,0,49,7,77,25,53,79,87,11,45,28,64,52,43
90,90,3052,夆典,建材營造,11,9,3,81,45,81,81,1,25,57,17,19,3,21,65,77,75,21,55,77,85,23,51,35,44,55,44
91,91,3056,富華新,建材營造,69,75,93,27,93,77,77,0,35,55,0,0,0,83,53,33,97,1,37,73,83,27,63,38,70,53,49
92,92,3266,昇陽,建材營造,45,49,63,3,57,57,57,0,31,53,21,0,0,49,51,95,73,93,31,49,81,29,47,33,46,67,47
93,93,3703,欣陸,建材營造,91,89,23,71,29,9,17,13,39,99,0,25,17,0,55,75,69,0,87,71,49,9,41,29,50,60,42
94,94,5515,建國,建材營造,21,19,49,61,55,75,75,53,65,79,67,95,77,53,81,0,67,95,23,69,23,15,0,54,50,53,55
95,95,5519,隆大,建材營造,83,79,65,11,23,7,1,75,75,45,23,45,69,15,3,73,65,97,89,67,79,0,39,45,41,65,51
96,96,5521,工信,建材營造,0,0,11,87,21,73,73,27,3,75,81,29,41,23,25,71,63,37,91,65,25,0,0,29,41,60,41
97,97,5522,遠雄,建材營造,95,95,97,0,87,71,71,35,9,95,83,87,75,89,95,69,61,51,0,63,27,89,67,65,72,60,65
98,98,5525,順天,建材營造,7,7,21,51,71,69,69,31,7,49,33,41,51,11,45,0,59,75,1,61,77,0,29,35,37,42,41
99,99,5531,鄉林,建材營造,23,25,9,83,17,67,67,97,77,51,85,97,55,85,0,67,57,43,47,59,19,41,23,58,46,47,52
100,100,5533,皇鼎,建材營造,47,27,31,49,97,65,65,77,73,63,25,37,71,9,1,11,55,27,93,57,75,0,27,41,47,58,48
101,101,5534,長虹,建材營造,73,71,57,23,41,63,63,79,71,65,31,39,73,7,0,17,53,55,7,55,73,3,25,41,58,40,48
102,102,5546,永固-KY,建材營造,61,53,43,35,59,61,61,51,13,91,27,35,63,5,5,65,51,13,95,53,71,7,37,33,52,62,45
103,103,6177,達麗,建材營造,43,45,47,59,53,59,59,81,69,67,29,43,67,3,0,63,49,35,25,51,69,5,35,41,52,49,46
104,104,9906,欣巴巴,建材營造,25,23,7,91,95,11,0,33,5,93,5,67,49,13,47,97,0,0,33,47,1,1,33,27,26,53,31
105,105,9946,三發地產,建材營造,35,37,33,53,81,3,0,83,67,1,0,81,65,1,0,39,45,81,75,0,63,0,31,36,27,54,38
106,106,1319,東陽,汽車工業,18,18,45,72,51,99,99,0,15,27,6,3,0,96,12,99,96,39,99,3,6,6,45,17,58,68,45
107,107,1338,廣華-KY,汽車工業,39,45,36,66,84,60,60,3,60,69,12,24,9,99,93,69,45,96,72,9,27,24,87,41,51,72,54
108,108,1339,昭輝,汽車工業,15,21,0,99,96,33,18,33,12,48,45,45,36,24,57,39,99,78,42,12,99,60,57,44,31,67,46
109,109,1512,瑞利,汽車工業,0,0,6,93,63,51,48,63,48,3,48,15,72,27,36,66,9,93,15,69,54,78,39,50,33,42,47
110,110,1521,大億,汽車工業,33,33,39,54,45,48,51,84,24,6,24,27,81,75,3,36,12,69,0,78,69,63,21,50,43,28,44
111,111,1522,堤維西,汽車工業,6,6,15,78,75,0,24,27,9,9,54,42,33,30,63,33,15,90,48,81,18,21,24,37,22,45,36
112,112,1524,耿鼎,汽車工業,3,3,3,96,27,30,27,42,66,51,57,66,27,33,45,12,3,48,6,87,51,54,84,56,27,24,42
