,公司名稱,毛利率2023年度成長率(%),營益率2023年度成長率(%),淨利率2023年度成長率(%)
909,凌巨,-0.336,-0.663,-0.615
910,華東,-0.843,-1.72,-1.03
911,至上,0.0986,0.184,-0.0203
912,振樺電,-0.103,-0.249,-0.504
913,福懋科,-0.725,-0.826,-0.742
914,南茂,-0.277,-0.407,-0.438
915,微矽電子-創,-0.69,-1.19,-1.16
916,達方,-0.0818,-0.277,0.42
917,無敵,-0.102,0.183,0.183
918,勤誠,0.208,0.28,0.0869
919,志超,-0.155,-0.0258,-0.257
920,明基材,0.0338,-0.151,-0.68
921,寶一,1.58,2.3,2.21
922,菱光,-0.244,-0.426,-0.314
923,富鼎,-0.467,-0.657,-0.633
924,宇瞻,0.0534,0.0236,-0.0109
925,日友,-0.25,-0.478,-0.526
926,建新國際,-0.0703,-0.167,0.0982
927,羅昇,-0.158,-1.14,-1.27
928,百和興業-KY,-0.434,-1.06,-2.13
929,福貞-KY,0.167,1.84,1.1
930,可寧衛,-0.18,-0.245,-0.26
931,金麗-KY,1.17,0.825,0.931
932,昶昕,0.0692,0.245,-0.105
933,威宏-KY,-0.0996,-0.0221,-0.0311
934,阿瘦,0.194,1.03,1.08
935,富邦媒,0.0264,0.0233,0.0563
936,柏文,0.245,0.519,0.579
937,潤泰材,0.492,1.13,2.02
938,億豐,-0.0607,-0.054,-0.111
939,美吉吉-KY,-0.393,-1.06,-1.45
940,波力-KY,0.0568,0.0518,-0.0489
941,山林水,1.32,9.38,1.15
942,台境,-0.272,-0.274,-0.284
943,東哥遊艇,0.208,0.177,0.187
944,政伸,-0.414,-0.639,-0.577
945,商億-KY,-0.31,-0.557,-0.63
946,愛爾達-創,0.805,1.23,1.23
947,吉源-KY,0.5,0.867,-0.727
948,鼎炫-KY,-0.276,-0.47,-0.48
949,台汽電,-0.185,-1.07,0.381
950,新天地,0.666,3.64,3.56
951,高力,0.558,1.06,0.915
952,鈺齊-KY,-0.428,-0.531,-0.559
953,台火,0.415,0.289,1.64
954,寶成,-0.0541,-0.0359,-0.16
955,大華,-0.0933,-0.104,-0.0658
956,欣巴巴,0.231,0.223,0.229
957,統一實,-0.482,-0.652,-0.697
958,大台北,0.0336,0.0666,0.496
959,豐泰,-0.237,-0.42,-0.452
960,櫻花,0.0534,0.107,0.0523
961,偉聯,0.0502,-0.135,-1.17
962,美利達,-0.0126,-0.015,-0.501
963,中保科,0.0995,0.0716,0.0049
964,欣天然,-0.0121,-0.104,1.47
965,康那香,-0.592,-0.642,3.51
966,巨大,-0.185,-0.405,-0.418
967,福興,0.117,0.268,0.0412
968,新保,-0.0145,-0.107,-0.0283
969,新海,0.0295,0.0105,0.034
970,泰銘,0.402,0.509,0.46
971,中視,0.0177,-0.0289,-2.25
972,秋雨,-0.263,-1.39,-0.275
973,中聯資源,0.135,0.185,0.111
974,欣高,0.0281,0.0792,-0.0004
975,中鼎,-0.0043,-0.0751,-0.205
976,成霖,0.132,1.48,1.68
977,慶豐富,-0.0115,-0.0695,-0.529
978,全國,0.0576,0.109,0.0802
979,百和,-0.315,-0.613,-0.618
980,宏全,0.0924,0.137,0.117
981,信義,0.15,0.301,0.439
982,裕融,0.0722,-0.118,0.0811
983,茂順,0.357,0.572,0.506
984,好樂迪,0.245,1.06,0.585
985,新麗,-0.333,-1.85,-0.298
986,潤泰新,-0.004,-0.0017,-0.154
987,三發地產,-0.311,-0.341,-0.364
988,佳龍,28.54,0.254,0.173
989,世紀鋼,4.58,20.13,1.83
